UID,Name,Age,Weight,Height,WR,Rc Injury,Nat,Division,Club,Wage,Asking Price,Expires,Position,Sec. Position,Starts,Mins,Pas %,Asts/90,xA/90,Pr passes/90,OP-KP/90,Ch C/90,OP-Cr %,OP-Crs C/90,Conv %,xG-OP,ShT/90,Gls/90,Shots Outside Box/90,NP-xG/90,Gl Mst,xA,Tck/90,Tck R,Clr/90,K Tck/90,K Hdrs/90,Aer A/90,Hdr %,Hdrs W/90,Blk/90,Poss Won/90,Poss Lost/90,Sprints/90,Drb/90,Dist/90,Pres C/90,Pres A/90,Svt,Svp,Svh,xGP/90,Con/90,xSv %,Sv %
2002153963,Alex Kamdem,21,76 kg,183 cm,,Pulled thigh,BEL,English Premier League,Newcastle Utd,"€5,835,000 p/a",-,30/6/2037,"AM (R), ST (C)",AM (R),23,"1,698",87%,0.16,0.13,0.64,0.8,0.42,23%,0.21,20%,-2.52,0.58,0.32,0.21,0.45,0,2.53,1.22,72%,0.16,0,0.05,4.29,28%,1.22,0.05,3.5,7.63,4.88,3.07,12.4km,1.43,6.2,-,-,-,-,-,-,-
91158071,Ermedin Demirović,35,80 kg,185 cm,,-,BIH,Bundesliga,Augsburg,"€2,355,000 p/a",-,30/6/2033,"M (L), AM (RLC), ST (C)","M (L), AM (RC)",6,786,86%,-,0.04,1.15,0.46,0.11,0%,0,25%,0.37,0.69,0.23,0.34,0.1,0,0.39,1.95,89%,0.69,0.23,0,7.67,28%,2.18,0.11,6.64,7.9,12.48,1.49,13.5km,3.21,12.82,-,-,-,-,-,-,-
2000204002,Mohamed Salah El Boukammiri,28,72 kg,180 cm,,-,BEL,LaLiga EA SPORTS,Almería,"€1,342,000 p/a",-,30/6/2035,"AM (RL), ST (C)",AM (L),36,"3,072",87%,0.15,0.1,0.73,0.7,0.29,10%,0.09,19%,1.84,1.23,0.41,0.64,0.36,0,3.27,1.14,75%,0.26,0,0.03,5.48,28%,1.55,0.09,3.31,10.14,5.6,1.08,12.4km,1.41,7.15,-,-,-,-,-,-,-
2000033302,Graham Conway,24,81 kg,188 cm,,-,IRL,English Premier League,Wolves,"€4,831,000 p/a",-,30/6/2036,"AM (R), ST (C)",AM (R),34,"2,618",85%,0.07,0.04,0.69,0.38,0.17,7%,0.07,24%,0.51,1.31,0.55,0.55,0.45,0,1.2,1.07,72%,0.45,0,0,8.49,28%,2.41,0.17,3.58,7.49,6.57,1.13,12.7km,1.68,8.63,-,-,-,-,-,-,-
2002074964,Pedro Campos,24,74 kg,179 cm,,-,POR,LaLiga EA SPORTS,Real Sociedad,"€2,982,000 p/a",-,30/6/2035,"AM (R), ST (C)",AM (R),24,"2,278",85%,0.24,0.17,2.17,0.83,0.43,34%,0.28,22%,1.92,0.95,0.43,0.55,0.36,1,4.36,1.54,76%,0.43,0,0.08,4.19,28%,1.19,0.08,4.58,11.42,6.28,3.12,12.8km,1.98,9.13,-,-,-,-,-,-,-
59130638,Khvicha Kvaratskhelia,32,69 kg,183 cm,,Tight thigh,GEO,English Premier League,Liverpool,"€33,388,000 p/a",-,30/6/2034,"M (L), AM (RLC), ST (C)","M (L), AM (RC)",43,"3,459",86%,0.31,0.28,2.94,1.64,0.88,14%,0.49,27%,3.32,0.62,0.31,0.34,0.18,0,10.68,2.42,82%,0.36,0.05,0.03,3.77,28%,1.07,0.44,6.76,14.8,11.29,3.93,12.9km,3.46,12.8,-,-,-,-,-,-,-
2002104182,Gregory Jansen,24,74 kg,179 cm,,-,NED,Eredivisie,PEC Zwolle,"€464,000 p/a",-,30/6/2037,"M/AM (C), ST (C)",-,25,"2,120",86%,0.17,0.19,2.97,1.19,0.42,28%,0.13,23%,2.17,0.76,0.3,0.51,0.21,2,4.51,1.61,68%,0.47,0,0,5.56,28%,1.57,0.25,5.09,8.79,8.53,1.19,13.0km,2.12,9.47,-,-,-,-,-,-,-
16283572,Muharem Huskovic,30,65 kg,180 cm,,-,AUT,Liga Portugal Bwin,S.C. Braga,"€5,180,000 p/a",-,30/6/2036,"AM (C), ST (C)",AM (C),41,"3,501",83%,0.1,0.1,0.51,0.49,0.23,24%,0.05,28%,6.21,1.11,0.59,0.72,0.41,0,3.82,1,81%,0.23,0,0.05,10.87,28%,3.06,0.18,3.21,4.83,4.14,0.67,11.8km,1.11,5.81,-,-,-,-,-,-,-
2002073832,Berkan Yıldırım,24,74 kg,180 cm,,-,TUR,Bundesliga,Gladbach,"€1,871,000 p/a",€1.7M,30/6/2035,"DM, AM (RLC), ST (C)","DM, AM (RLC)",1,244,83%,-,0.04,2.58,0.37,-,-,0,45%,2.88,1.84,1.84,2.21,0.49,0,0.1,-,-,0.37,0,0,11.8,28%,3.32,-,3.32,8.85,8.11,1.48,13.6km,2.58,6.27,-,-,-,-,-,-,-
2000292832,Tzalo,26,77 kg,181 cm,,-,ESP,LaLiga EA SPORTS,Gijón,"€1,686,000 p/a",-,30/6/2035,ST (C),-,13,"1,300",83%,0.07,0.11,0.42,0.35,0.21,28%,0.07,15%,-1.29,0.9,0.28,0.35,0.37,0,1.59,1.18,77%,0.55,0.07,0,9.62,28%,2.7,0.14,4.02,8.38,6.58,2.01,12.5km,1.52,5.47,-,-,-,-,-,-,-
27148085,Christian Rasmussen,30,75 kg,184 cm,,-,DEN,Eredivisie,NAC Breda,"€685,000 p/a",€5M,30/6/2035,"M (RC), AM (RLC), ST (C)","M (RC), AM (LC)",34,"2,955",86%,0.15,0.11,1.16,0.61,0.37,14%,0.06,22%,3.81,0.76,0.3,0.52,0.19,0,3.46,1.89,79%,0.82,0,0.09,6.76,28%,1.89,0.09,4.11,9.65,6.97,1.43,13.0km,2.04,9.84,-,-,-,-,-,-,-
2002102175,Aiden Howells,22,71 kg,175 cm,,-,ENG,English Premier League,Man City,"€2,038,000 p/a",-,30/6/2033,"AM (C), ST (C)",-,2,328,86%,-,0.18,1.37,2.47,0.55,25%,0.55,-,-1.02,0.82,-,1.37,0.28,0,0.67,2.74,100%,0,0.27,0,4.94,28%,1.37,-,4.94,7.68,9.05,3.02,14.3km,2.47,5.49,-,-,-,-,-,-,-
2000268857,Gabriel Silva,26,81 kg,178 cm,,Pulled back muscle,POR,Liga Portugal Bwin,Sporting CP,"€1,898,000 p/a",-,30/6/2036,"AM (RC), ST (C)",AM (RC),27,"2,779",89%,0.29,0.21,1.62,1.04,0.52,9%,0.13,25%,2.71,1.1,0.52,0.58,0.43,1,6.61,1.17,75%,0.16,0,0,3.5,28%,0.97,0.13,3.56,10.46,3.47,2.14,12.2km,1.78,8.23,-,-,-,-,-,-,-
2002135327,César Martínez,23,84 kg,190 cm,,-,ESP,LaLiga EA SPORTS,Real Racing Club,"€685,000 p/a",-,30/6/2036,"DM, M/AM (C), ST (C)","DM, M (C)",5,949,87%,0.09,0.11,1.9,0.66,0.28,13%,0.09,13%,0.65,0.76,0.19,0.85,0.13,0,1.11,1.04,69%,0.66,0.09,0.28,11.29,28%,3.13,0.38,4.65,7.11,3.13,1.33,12.8km,1.8,7.87,-,-,-,-,-,-,-
2000024027,Vando Alago,24,79 kg,183 cm,,-,POR,Eredivisie,Vitesse,"€801,000 p/a",-,30/6/2035,ST (C),-,25,"1,892",87%,0.05,0.04,0.29,0.29,0.05,11%,0.05,15%,-1.19,0.9,0.29,0.67,0.3,0,0.88,0.67,70%,0.24,0,0,10.47,28%,2.9,0.05,3,5.71,3.71,0.81,12.1km,1.19,6.56,-,-,-,-,-,-,-
2002075331,João Maca,24,71 kg,180 cm,,-,POR,Bundesliga,1. FC Köln,"€1,662,000 p/a",-,30/6/2036,"AM (RC), ST (C)",AM (RC),8,"1,316",77%,0.14,0.1,1.16,0.75,0.27,20%,0.27,5%,-4,0.68,0.14,1.03,0.41,0,1.42,0.96,67%,0.21,0,0,8.89,28%,2.46,0.07,4.65,8.34,6.98,2.05,12.8km,2.05,9.92,-,-,-,-,-,-,-
2002103586,Ingo van Veldhoven,24,77 kg,185 cm,,-,NED,Bundesliga,Hertha BSC,"€2,060,000 p/a",-,30/6/2037,"AM (C), ST (C)",AM (C),3,477,82%,0.19,0.06,1.32,1.13,-,8%,0.19,11%,0.01,1.51,0.38,1.89,0.38,0,0.34,1.89,83%,0.19,0,0,8.87,28%,2.45,0.38,6.04,11.13,7.92,3.77,13.2km,3.58,11.13,-,-,-,-,-,-,-
18116155,Fabrice Ngoy,24,74 kg,178 cm,,-,BEL,Bundesliga,Eintracht Frankfurt,"€9,841,000 p/a",-,30/6/2037,"AM (LC), ST (C)",AM (LC),40,"3,174",87%,0.11,0.09,1.45,0.82,0.28,10%,0.03,20%,-0.66,0.62,0.31,0.54,0.31,0,3.09,0.77,82%,0.26,0,0.03,5.98,27%,1.64,0.06,3.46,5.47,6.64,0.6,12.6km,1.13,5.19,-,-,-,-,-,-,-
2002073507,Benoît Le Maux,24,74 kg,178 cm,,-,FRA,Ligue 1 Uber Eats,EA Guingamp,"€454,000 p/a",€105K,30/6/2035,"AM (R), ST (C)",AM (R),1,74,91%,1.22,0.22,2.43,2.43,2.43,-,0,-,-0.08,0,-,1.22,0.1,0,0.18,1.22,50%,1.22,0,0,13.38,27%,3.65,-,7.3,7.3,4.86,2.43,0.0km,0,9.73,-,-,-,-,-,-,-
2000158452,Adyson,27,77 kg,175 cm,,-,BRA,English Premier League,Cardiff,"€7,456,000 p/a",-,30/6/2037,"AM (L), ST (C)",-,8,916,81%,0.49,0.27,2.65,1.67,0.88,16%,0.98,-,-1.26,0.59,-,0.88,0.12,0,2.79,1.67,74%,0.49,0,0,6.48,27%,1.77,0.1,8.94,14.93,12.77,4.62,14.0km,4.52,16.51,-,-,-,-,-,-,-
2002124291,Ángel Manuel Fernández Iglesias,23,74 kg,179 cm,,-,ESP,Jupiler Pro League,Standard Liège,"€1,324,000 p/a",-,30/6/2036,"AM (R), ST (C)",AM (R),34,"3,031",63%,0.09,0.06,0.15,0.15,0.03,0%,0,7%,-4.15,1.78,0.24,0.12,0.36,0,1.9,1.37,58%,0.09,0.03,0,1.43,27%,0.39,-,0.18,3.53,1.22,0.3,2.1km,0.39,0.95,-,-,-,-,-,-,-
2002154333,Ousmane Bakayoko,21,82 kg,180 cm,,-,FRA,Liga Portugal Bwin,Sporting CP,"€472,000 p/a",-,30/6/2037,ST (C),-,5,631,88%,0.14,0.18,1.57,1.28,0.86,0%,0,20%,0,1.85,0.43,0.29,0.32,0,1.26,1.85,87%,0,0,0,3.71,27%,1,-,3.99,8.99,3,0.71,12.2km,2.57,9.41,-,-,-,-,-,-,-
2000166219,Jerónimo Domina,27,80 kg,176 cm,,-,ARG,Bundesliga,RB Leipzig,"€3,229,000 p/a",-,30/6/2035,"AM (RL), ST (C)",AM (RL),12,"1,340",86%,0.13,0.08,1.41,0.94,0.13,21%,0.54,13%,-0.67,0.4,0.13,0.2,0.18,0,1.16,2.22,77%,0.47,0,0,3.49,27%,0.94,0.07,4.3,12.22,11.69,3.09,13.2km,2.89,11.01,-,-,-,-,-,-,-
2000288922,Enzo Molebe,26,74 kg,180 cm,,-,FRA,Ligue 1 Uber Eats,Lyon,"€6,725,000 p/a",-,30/6/2037,"AM (RL), ST (C)",AM (R),28,"2,609",86%,0.31,0.25,1.28,1.07,0.52,16%,0.34,13%,-3.3,0.83,0.24,0.69,0.36,0,7.12,1.14,67%,0.24,0,0,7.59,27%,2.04,0.14,4.76,10.04,6.76,3.07,12.8km,2.38,9.66,-,-,-,-,-,-,-
2002073391,Ruud Versendaal,24,80 kg,184 cm,,-,NED,English Premier League,Chelsea,"€14,132,000 p/a",-,30/6/2037,"AM (C), ST (C)",AM (C),34,"2,734",89%,0.1,0.09,1.19,0.79,0.23,5%,0.03,26%,3.92,0.82,0.36,0.4,0.23,0,2.8,1.05,80%,0.43,0.03,0.03,6.16,27%,1.65,0.16,4.21,7.77,5.83,1.48,13.1km,1.84,8,-,-,-,-,-,-,-
83169822,João Félix,33,74 kg,178 cm,,-,POR,English Premier League,Newcastle Utd,"€13,566,000 p/a",€4.7M,30/6/2033,"M (C), AM (RLC), ST (C)","M (C), AM (R)",-,300,84%,-,0.01,4.5,0.3,-,13%,0,-,-0.3,0,-,0.3,0.09,0,0.02,0.9,60%,0.3,0,0.3,4.5,27%,1.2,0.3,5.1,16.8,9.3,2.1,13.3km,2.4,10.2,-,-,-,-,-,-,-
2000263566,Ryan Francisco,26,69 kg,177 cm,,-,BRA,Bundesliga,Leverkusen,"€8,596,000 p/a",-,30/6/2036,ST (C),-,12,"1,553",86%,0.12,0.13,0.58,0.58,0.41,10%,0.12,28%,2.18,1.1,0.52,0.75,0.3,0,2.22,0.64,55%,0.23,0,0,5.45,27%,1.45,0.06,2.78,6.95,3.54,1.33,12.0km,1.56,6.49,-,-,-,-,-,-,-
19306929,Rodrygo,32,64 kg,174 cm,,-,BRA,English Premier League,Man City,"€23,880,000 p/a",-,30/6/2034,"M (R), AM (RLC), ST (C)","M (R), AM (C)",31,"2,529",85%,0.53,0.35,2.53,1.49,0.85,20%,0.6,20%,5.03,1.17,0.39,0.93,0.18,0,9.75,2.14,78%,0.46,0,0,4.7,27%,1.25,0.14,5.98,16.09,10.75,3.49,13.6km,3.49,13.77,-,-,-,-,-,-,-
2000082463,Jon Karrikaburu,30,81 kg,183 cm,,-,ESP,LaLiga EA SPORTS,Athletic Bilbao,"€2,779,000 p/a",-,30/6/2035,ST (C),-,42,"3,460",87%,0.1,0.07,0.31,0.34,0.08,13%,0.03,14%,-3.88,0.7,0.26,0.57,0.36,0,2.58,0.73,67%,0.31,0,0.03,10.43,26%,2.76,0.1,2.94,4.99,3.9,0.68,12.0km,1.51,6.09,-,-,-,-,-,-,-
2000034842,Giuseppe Ambrosino,29,81 kg,185 cm,,-,ITA,Ligue 1 Uber Eats,Bordeaux,"€1,805,000 p/a",-,30/6/2036,ST (C),-,-,208,91%,-,0.11,2.6,1.73,-,0%,0,33%,0.65,0.87,0.43,0.43,0.15,0,0.26,1.73,100%,0,0,0,8.22,26%,2.16,0.43,3.46,8.65,7.79,0.87,14.8km,2.16,9.95,-,-,-,-,-,-,-
2000244088,João Santos,23,77 kg,180 cm,,-,POR,Bundesliga,Borussia Dortmund,"€11,658,000 p/a",-,30/6/2036,ST (C),-,38,"2,911",87%,0.15,0.15,1.14,0.9,0.28,27%,0.09,23%,1.14,1.05,0.46,0.43,0.4,1,4.74,0.8,70%,0.22,0,0,6.59,26%,1.73,0.06,3.62,6.93,6.77,1.08,12.5km,1.98,7.57,-,-,-,-,-,-,-
19380666,Marcos Leonardo,30,70 kg,178 cm,,-,BRA,English Premier League,Leeds Utd,"€6,548,000 p/a",-,30/6/2035,"AM (L), ST (C)",AM (L),38,"3,216",86%,0.08,0.09,0.64,0.59,0.17,19%,0.11,18%,-0.78,0.92,0.34,0.81,0.31,0,3.3,1.54,82%,0.39,0,0,5.35,26%,1.4,0.17,4.31,6.24,7.33,1.06,12.9km,1.62,7.36,-,-,-,-,-,-,-
19326424,Yuri Alberto,32,77 kg,183 cm,,-,NED,Eredivisie,AZ,"€4,627,000 p/a",-,30/6/2035,"AM (RL), ST (C)",AM (RL),30,"2,624",84%,0.07,0.08,1.47,0.82,0.38,11%,0.1,30%,4.7,1.68,0.79,0.79,0.6,1,2.38,1.51,86%,0.38,0.03,0.03,5.9,26%,1.54,0.1,4.05,6.96,6.72,0.96,12.2km,2.3,8.09,-,-,-,-,-,-,-
2002074071,Hernán Gómez,24,69 kg,175 cm,,-,ARG,Liga Portugal Bwin,Vizela,"€45,000 p/a",-,30/6/2036,"AM (RL), ST (C)",AM (RL),2,469,85%,0.19,0.23,2.3,0.77,0.58,0%,0,38%,2.19,0.77,0.58,0.96,0.16,0,1.18,0.77,57%,1.34,0,0,4.41,26%,1.15,0.38,5.57,11.71,5.76,4.03,12.7km,2.88,9.98,-,-,-,-,-,-,-
2002120795,Jorge,24,73 kg,182 cm,,-,BRA,Liga Portugal Bwin,Belenenses,"€158,000 p/a",-,31/12/2033,"AM (LC), ST (C)",AM (LC),3,691,85%,0.26,0.05,0.65,0.26,0.13,7%,0,19%,0.85,1.3,0.39,0.78,0.28,0,0.39,0.78,75%,0.65,0,0,9.51,26%,2.47,0.13,5.21,8.08,6.12,2.21,13.2km,1.95,8.86,-,-,-,-,-,-,-
14257069,Gino Albertengo,29,76 kg,180 cm,,-,ARG,Liga Portugal Bwin,Estrela,"€483,000 p/a",-,30/6/2035,ST (C),-,8,"1,161",88%,0.23,0.06,0.31,0.31,0.08,32%,0.16,23%,0.62,1.24,0.54,0.7,0.43,0,0.71,1.24,76%,0.78,0,0,7.75,26%,2.02,0.16,3.88,6.59,6.36,0.62,12.7km,2.33,8.37,-,-,-,-,-,-,-
2002144221,Thomas Lind,22,80 kg,188 cm,,-,DEN,English Premier League,Wolves,"€5,192,000 p/a",-,30/6/2036,"AM (RL), ST (C)",AM (RL),20,"2,066",81%,0.13,0.11,1.31,0.74,0.22,8%,0.09,19%,0.22,0.7,0.26,0.35,0.25,1,2.53,2.13,86%,0.7,0,0,7.71,26%,2,0.17,4.05,10.37,7.75,1.44,13.7km,2.35,11.15,-,-,-,-,-,-,-
18108540,Jonathan David,33,73 kg,177 cm,,-,CAN,Ligue 1 Uber Eats,Lille,"€4,591,000 p/a",-,30/6/2034,"AM (RLC), ST (C)",-,34,"2,895",87%,0.16,0.08,1.37,0.5,0.25,17%,0.16,18%,-2.18,0.87,0.37,0.78,0.37,0,2.65,1.31,72%,0.28,0.03,0,9.48,26%,2.46,0.09,4.76,8.27,6.93,2.24,13.0km,1.52,7.03,-,-,-,-,-,-,-
2002072876,Romain Legendre,24,72 kg,176 cm,,-,BEL,Jupiler Pro League,RSC Anderlecht,"€522,000 p/a",-,30/6/2036,"M (L), AM (LC), ST (C)","M (L), AM (LC)",26,"2,743",72%,0.13,0.09,1.35,0.39,0.03,28%,0.43,17%,5.18,1.38,0.43,0.62,0.26,0,2.77,1.35,71%,0.52,0,0.07,3.81,26%,0.98,0.2,2.1,7.81,5.84,1.38,6.6km,1.57,4.69,-,-,-,-,-,-,-
49048445,Arnaud Kalimuendo,31,78 kg,175 cm,,-,FRA,Ligue 1 Uber Eats,AS Monaco,"€5,974,000 p/a",-,30/6/2034,ST (C),-,34,"3,088",88%,0.15,0.07,0.79,0.76,0.17,21%,0.12,25%,1.73,1.46,0.58,0.61,0.46,0,2.33,1.46,88%,0.32,0,0.03,3.96,26%,1.02,0.17,4.17,6.88,4.98,1.78,12.3km,2.04,6.97,-,-,-,-,-,-,-
2002162483,Dadá,20,79 kg,185 cm,,-,BRA,Liga Portugal Bwin,Famalicão,"€231,000 p/a",-,30/6/2036,"M/AM (C), ST (C)",M/AM (C),15,"1,726",87%,0.1,0.06,1.56,0.68,0.16,25%,0.1,26%,0.82,0.63,0.31,0.26,0.27,0,1.24,1.25,65%,0.21,0.05,0.1,4.28,26%,1.1,0.21,3.29,7.77,5.06,0.83,12.4km,1.36,7.2,-,-,-,-,-,-,-
91175633,Jessic Ngankam,32,82 kg,180 cm,,Pulled groin,GER,Bundesliga,Hertha BSC,"€2,083,000 p/a",-,30/6/2034,"AM (RL), ST (C)",AM (RL),9,"1,283",86%,0.28,0.12,1.05,0.91,0.35,0%,0,21%,-0.62,1.33,0.49,0.98,0.42,0,1.73,2.1,73%,0.63,0,0,9.05,26%,2.31,-,5.33,9.61,10.66,1.82,13.9km,2.46,10.52,-,-,-,-,-,-,-
2000278405,Mario Barlocco,22,67 kg,174 cm,,-,ITA,Ligue 1 Uber Eats,RC Lens,"€1,058,000 p/a",-,30/6/2033,"M (C), AM (RLC), ST (C)","M (C), AM (LC)",15,"1,246",88%,0.36,0.21,4.12,1.3,0.72,15%,0.29,8%,-1.24,0.51,0.07,0.14,0.16,0,2.95,2.6,82%,0.58,0,0,3.39,26%,0.87,0.22,6,13.36,13,3.32,13.5km,4.55,15.82,-,-,-,-,-,-,-
2002074732,Timur Kuz'min,24,77 kg,185 cm,,-,KAZ,Bundesliga,VfB Stuttgart,"€4,448,000 p/a",-,30/6/2036,"M (L), AM (RC), ST (C)","M (L), AM (RC)",21,"1,652",80%,0.16,0.17,2.07,0.82,0.33,18%,0.44,4%,-3.01,0.38,0.05,0.54,0.22,0,3.04,1.47,87%,0.44,0,0.11,5.12,26%,1.31,0.16,4.58,10.51,8.77,2.29,12.7km,1.63,6.97,-,-,-,-,-,-,-
37079431,Younes Mokhtari,25,77 kg,188 cm,,-,BEL,Jupiler Pro League,Eupen,"€318,000 p/a",-,30/6/2035,"M (L), AM (RL), ST (C)","M (L), AM (RL)",40,"3,509",71%,0.1,0.1,0.38,0.31,0.08,0%,0,14%,1.45,1.39,0.36,0.15,0.32,0,3.8,0.97,75%,0.15,0.03,0.05,4.03,25%,1.03,0.03,0.74,5.59,2.15,0.33,4.3km,0.51,2.41,-,-,-,-,-,-,-
67272502,Sergio Camello,32,68 kg,177 cm,,-,ESP,Liga Portugal Bwin,Sporting CP,"€5,059,000 p/a",-,30/6/2034,ST (C),-,22,"1,543",88%,0.12,0.13,1.75,0.99,0.47,50%,0.06,10%,-1.57,0.47,0.12,0.7,0.12,0,2.23,1.87,70%,0.64,0,0,3.44,25%,0.87,-,4.37,8.98,3.97,0.7,12.0km,3.32,12.02,-,-,-,-,-,-,-
2000208403,Hakim Sahabo,27,74 kg,183 cm,,-,RWA,Jupiler Pro League,Eupen,"€153,000 p/a",-,30/6/2034,"AM (R), ST (C)",-,28,"2,647",70%,0.14,0.07,1.16,0.54,0.03,31%,0.58,4%,-4.95,1.12,0.1,0.14,0.27,0,2.15,1.19,73%,0.51,0,0.03,2.14,25%,0.54,0.24,1.16,5.47,4.22,1.02,4.1km,0.75,3.74,-,-,-,-,-,-,-
2000069825,Enrico Lazzeri,25,69 kg,176 cm,,-,BEL,Jupiler Pro League,Cercle Brugge,"€151,000 p/a",-,30/6/2034,"AM (RL), ST (C)",AM (RL),36,"3,080",74%,0.2,0.09,2.1,0.64,0.2,14%,0.44,10%,-0.27,0.64,0.18,0.29,0.18,0,3.18,1.11,73%,0.64,0,0,2.07,25%,0.53,0.29,1.75,8.77,5.26,1.93,6.3km,1.4,5,-,-,-,-,-,-,-
13136663,Anderson Niangbo,33,65 kg,173 cm,,-,CIV,Jupiler Pro League,Gent,"€992,000 p/a",-,30/6/2034,"AM (RLC), ST (C)",AM (LC),37,"3,167",67%,0.09,0.09,0.2,0.11,0.06,25%,0.03,7%,-5.06,1.39,0.2,0.09,0.34,0,3.09,0.68,49%,0.28,0.03,0,2.36,25%,0.6,0.09,1.25,4.32,1.53,0.23,3.0km,0.23,1.59,-,-,-,-,-,-,-
