UID,Name,Age,Weight,Height,WR,Rc Injury,Nat,Division,Club,Wage,Asking Price,Expires,Position,Sec. Position,Starts,Mins,Pas %,Asts/90,xA/90,Pr passes/90,OP-KP/90,Ch C/90,OP-Cr %,OP-Crs C/90,Conv %,xG-OP,ShT/90,Gls/90,Shots Outside Box/90,NP-xG/90,Gl Mst,xA,Tck/90,Tck R,Clr/90,K Tck/90,K Hdrs/90,Aer A/90,Hdr %,Hdrs W/90,Blk/90,Poss Won/90,Poss Lost/90,Sprints/90,Drb/90,Dist/90,Pres C/90,Pres A/90,Svt,Svp,Svh,xGP/90,Con/90,xSv %,Sv %
91172522,Flavius Daniliuc,31,78 kg,188 cm,,-,AUT,English Premier League,West Ham,"$8,592,000 p/a",-,30/6/2035,"D (RLC), DM","D (L), DM",43,"3,478",89%,0.1,0.05,6.75,0.62,0.08,6%,0.08,-,-1.93,0,-,0.03,0.05,1,2.09,2.15,75%,0.91,0.13,0.57,5.46,69%,3.75,0.41,12.42,9.7,14.21,1.11,12.8km,2.3,8.54,-,-,-,-,-,-,-
2002074504,Adam Steele,25,89 kg,181 cm,,-,SCO,English Premier League,Man City,"$4,038,000 p/a",-,30/6/2035,D/WB (R),-,12,"1,486",90%,0.18,0.16,7.27,1.03,0.24,14%,0.36,-,-0.53,0.06,-,0.06,0.03,0,2.69,3.09,81%,1.21,0.12,0.3,3.82,81%,3.09,0.61,11.08,15.93,14.17,1.21,12.8km,2.06,8.54,-,-,-,-,-,-,-
2000095783,Vitor Roque,27,77 kg,172 cm,,-,BRA,English Premier League,Liverpool,"$38,238,000 p/a",-,30/6/2036,"AM (RL), ST (C)",AM (RL),32,"2,879",84%,0.16,0.2,1.88,1.16,0.38,11%,0.25,11%,-3.36,1.47,0.38,0.91,0.46,0,6.26,1.75,76%,0.5,0,0.06,4.25,21%,0.91,0.28,4.81,10.85,10.63,2.72,12.5km,2.72,10.13,-,-,-,-,-,-,-
45095490,Takehiro Tomiyasu,33,78 kg,188 cm,,-,JPN,English Premier League,Chelsea,"$10,764,000 p/a",-,30/6/2033,"D (RLC), WB (RL)","D (C), WB (RL)",39,"3,249",89%,0.17,0.14,6.4,0.8,0.22,14%,0.33,17%,0.34,0.06,0.03,0.08,0.02,0,5.03,2.99,73%,0.94,0.19,0.39,5.24,69%,3.6,0.61,11.94,18.48,13.68,1.83,12.3km,3.1,8.86,-,-,-,-,-,-,-
19306929,Rodrygo,31,64 kg,174 cm,,-,BRA,English Premier League,Man City,"$36,546,000 p/a",-,30/6/2033,"M (R), AM (RLC), ST (C)","M (R), AM (C)",38,"3,276",84%,0.14,0.27,3.27,1.59,0.41,16%,0.33,19%,5.83,1.46,0.55,1.02,0.39,0,9.8,2.91,84%,0.69,0.03,0.05,4.97,38%,1.87,0.25,5.99,13.05,14.81,3.43,12.9km,3.38,13.9,-,-,-,-,-,-,-
49047581,Rayan Aït-Nouri,31,70 kg,180 cm,,-,ALG,English Premier League,Wolves,"$8,604,000 p/a",-,30/6/2033,D/WB (L),-,29,"2,256",90%,0.12,0.09,7.26,0.92,0.08,11%,0.16,-,-0.19,0.08,-,0.08,0.01,1,2.33,3.11,90%,0.92,0.12,0.6,5.59,70%,3.91,0.64,12.45,13.09,13.48,1.64,12.5km,2.59,9.73,-,-,-,-,-,-,-
2000137635,Ashley Phillips,26,85 kg,194 cm,,-,ENG,English Premier League,Aston Villa,"$6,601,000 p/a",-,30/6/2035,D (C),-,38,"3,401",89%,0.05,0.04,4.23,0.16,0.05,50%,0.03,5%,-0.81,0.21,0.03,0.13,0.05,0,1.44,1.3,80%,1.03,0.26,0.85,6.83,69%,4.74,0.58,15.96,3.15,5.29,0.29,11.8km,0.95,3.47,-,-,-,-,-,-,-
2000100062,Badredine Bouanani,27,66 kg,172 cm,,-,ALG,English Premier League,Middlesbrough,"$3,082,000 p/a",-,30/6/2035,"AM (RC), ST (C)","AM (C), ST (C)",25,"2,071",83%,0.04,0.15,2.69,1.61,0.56,11%,0.35,17%,4.43,1.04,0.39,0.83,0.2,0,3.55,2.65,86%,0.83,0.04,0.04,4.39,28%,1.22,0.04,5.04,16.86,14.43,2.91,13.1km,3.52,12.6,-,-,-,-,-,-,-
43298481,Sandro Tonali,32,80 kg,181 cm,,-,ITA,English Premier League,Newcastle Utd,"$19,906,000 p/a",-,30/6/2034,"DM, M (C)",-,42,"3,354",88%,0.21,0.32,4.64,1.8,0.72,24%,0.27,14%,0.54,0.62,0.19,0.4,0.17,0,11.86,1.69,68%,0.48,0.08,0.19,3.01,46%,1.4,0.24,11.89,11.4,12.24,1.34,13.1km,3.19,11.06,-,-,-,-,-,-,-
67295644,Iker Álvarez,30,80 kg,190 cm,,-,AND,English Premier League,Aston Villa,"$2,613,000 p/a",-,30/6/2036,GK,-,35,"3,104",87%,-,0,0.14,0,-,-,-,-,0,-,-,-,0,0,0,0,0%,3.16,0,0,-,-,-,-,3.91,8.64,0.06,-,5.8km,0,0,19,67,55,0.17,1.51,87%,73%
2000208439,Gabriel Moscardo,26,80 kg,186 cm,,-,BRA,English Premier League,Brighton,"$5,669,000 p/a",-,30/6/2035,"D (C), DM, M (C)",D/M (C),36,"2,956",88%,0.24,0.17,4.78,1.13,0.3,15%,0.09,4%,-0.7,0.24,0.03,0.27,0.05,0,5.46,2.28,76%,0.76,0.09,0.85,4.9,66%,3.23,0.27,10.87,8.04,13.7,0.67,13.6km,3.01,9.35,-,-,-,-,-,-,-
43409366,Lorenzo Lucca,31,85 kg,201 cm,,-,ITA,English Premier League,Middlesbrough,"$2,775,000 p/a",$7M,30/6/2033,ST (C),-,1,472,81%,0.19,0.15,0.19,0.19,0.19,0%,0,-,-4.32,2.29,-,1.14,0.82,0,0.8,0.95,83%,0.38,0,0,10.3,48%,4.96,0.38,0.95,23.07,7.06,1.53,11.3km,1.14,6.29,-,-,-,-,-,-,-
19351309,Gabriel Martinelli,30,72 kg,180 cm,,-,BRA,English Premier League,Arsenal,"$35,656,000 p/a",-,30/6/2034,"M (L), AM (RLC), ST (C)","M (L), AM (RC), ST (C)",32,"2,628",86%,0.31,0.21,2.43,1.44,0.31,22%,0.58,13%,0.36,1.44,0.48,1.13,0.47,1,6.26,2.43,84%,0.48,0,0.03,5.38,43%,2.33,0.24,5.72,12.19,14.45,3.08,12.7km,3.08,13.22,-,-,-,-,-,-,-
67216151,Toni Martínez,34,79 kg,187 cm,,-,ESP,English Premier League,Brentford,"$3,521,000 p/a",-,30/6/2033,ST (C),-,15,"1,331",84%,-,0.08,0.54,0.27,-,50%,0.14,11%,1.09,1.22,0.34,1.56,0.26,0,1.13,0.74,61%,0.41,0,0.07,10.89,39%,4.19,-,2.1,22.18,6.76,0.81,12.0km,0.95,7.44,-,-,-,-,-,-,-
2002074503,Tomos Cartwright,24,87 kg,194 cm,,-,ENG,English Premier League,Man City,"$27,994,000 p/a",-,30/6/2035,D (RL),-,39,"3,346",89%,0.08,0.05,7.64,0.91,0.24,17%,0.48,12%,0.25,0.16,0.05,0.11,0.05,0,1.82,3.07,80%,0.65,0.16,0.32,5.89,63%,3.71,0.67,14.66,12.18,17.51,2.21,13.2km,3.12,9.82,-,-,-,-,-,-,-
2000034631,Ibrahim Mohammed,24,93 kg,199 cm,,-,GER,English Premier League,Liverpool,"$18,343,000 p/a",-,30/6/2035,"D (RC), DM","D (R), DM",48,"4,272",94%,0.06,0.02,5.5,0.34,0.02,0%,0,3%,-1.17,0.32,0.02,0.08,0.05,1,0.84,1.45,86%,0.61,0.23,1.07,6.7,75%,5.04,0.29,16.79,2.55,6.11,0.36,11.9km,1.16,3.33,-,-,-,-,-,-,-
2000177913,Shaqueel van Persie,25,83 kg,192 cm,,-,ENG,English Premier League,Brighton,"$7,331,000 p/a",-,30/6/2035,"AM (RLC), ST (C)",AM (RLC),9,"1,342",84%,-,0.12,1.14,0.67,0.13,8%,0.13,23%,6.37,1.54,0.8,1.21,0.38,0,1.84,1.34,77%,0.07,0,0.07,8.18,42%,3.42,0.07,2.41,16.63,8.58,1.54,12.1km,1.54,8.92,-,-,-,-,-,-,-
14204638,Juan Sforza,30,75 kg,179 cm,,-,ARG,English Premier League,Everton,"$3,921,000 p/a",$42M,30/6/2035,"DM, M/AM (C)","DM, AM (C)",11,"1,215",88%,0.3,0.25,3.85,1.63,0.44,33%,0.22,7%,-0.25,0.07,0.07,0.37,0.09,0,3.35,2.15,81%,0.59,0.07,0.07,2,22%,0.44,0.22,10.44,12.07,10.89,0.67,11.9km,2.81,11.63,-,-,-,-,-,-,-
29127852,Lewis Cook,35,69 kg,176 cm,,-,ENG,English Premier League,Bournemouth,"$1,761,000 p/a",-,30/6/2033,"DM, M (C)",-,7,804,91%,0.11,0.34,5.6,0.78,0.56,13%,0.11,-,-0.16,0.11,-,0,0.02,0,3,2.46,92%,0.9,0.11,0.11,2.8,20%,0.56,0.67,9.07,7.61,12.09,0.9,12.7km,2.69,10.19,-,-,-,-,-,-,-
2000125958,Pablo Barrios,28,76 kg,181 cm,,Pulled knee ligaments,ESP,English Premier League,Bournemouth,"$3,011,000 p/a",-,30/6/2034,"DM, M (C)",-,34,"2,947",90%,0.06,0.1,5.19,1.04,0.18,6%,0.03,3%,-2.83,0.09,0.03,0.4,0.12,0,3.32,2.5,77%,0.52,0.03,0.27,3.6,30%,1.07,0.4,10.48,7.45,12.55,0.95,13.0km,3.12,9.96,-,-,-,-,-,-,-
16283629,Amar Dedić,29,74 kg,180 cm,,-,BIH,English Premier League,Newcastle Utd,"$10,201,000 p/a",-,30/6/2034,D/WB (RL),"D (R), WB (RL)",32,"2,823",89%,0.1,0.07,7.72,0.7,0.22,18%,0.22,-,-2.13,0,-,0.13,0.07,0,2.19,2.87,79%,0.96,0.16,0.16,3.83,72%,2.74,0.64,11.73,13.58,13.33,1.47,12.6km,2.55,9.34,-,-,-,-,-,-,-
2002143823,Mateo Martínez,20,81 kg,185 cm,,Tight hamstring,ARG,English Premier League,Man Utd,"$3,743,000 p/a",-,30/6/2036,D (RC),D (R),28,"2,464",94%,0.04,0.03,4.93,0.18,-,0%,0,7%,-0.34,0.15,0.04,0,0.05,0,0.95,1.68,84%,0.66,0.15,0.77,6.17,59%,3.65,0.33,13.84,4.35,4.82,0.29,11.4km,1.28,3.36,-,-,-,-,-,-,-
28108494,Phil Foden,32,64 kg,171 cm,,-,ENG,English Premier League,Man City,"$34,070,000 p/a",-,30/6/2033,"M (C), AM (RLC), ST (C)","AM (R), ST (C)",39,"2,853",84%,0.28,0.22,2.49,1.36,0.5,19%,0.32,17%,4.27,1.2,0.41,0.95,0.28,0,6.88,1.89,75%,0.54,0.06,0,3.19,25%,0.79,0.19,11.55,12.33,14.32,2.37,13.5km,2.97,10.54,-,-,-,-,-,-,-
67276122,Ansu Fati,29,66 kg,178 cm,,-,ESP,English Premier League,Man City,"$43,669,000 p/a",-,30/6/2035,"M (L), AM (RL), ST (C)",M (L),40,"3,093",85%,0.23,0.25,3.29,1.72,0.44,23%,0.49,14%,1.55,1.6,0.52,1.13,0.46,0,8.43,2.27,80%,0.58,0.06,0.03,4.92,31%,1.54,0.23,6.29,7.91,13.53,3.87,12.9km,3.64,12.74,-,-,-,-,-,-,-
29158244,Lloyd Kelly,33,82 kg,191 cm,,Hamstring strain,ENG,English Premier League,Bournemouth,"$3,089,000 p/a",-,30/6/2033,D (LC),-,37,"2,879",87%,0.03,0.07,5.88,0.81,0.09,20%,0.41,-,-0.09,0,-,0,0,1,2.29,2.94,85%,1.22,0.13,0.44,5.63,68%,3.85,0.56,8.75,16.88,15.29,1,12.2km,2.47,9.41,-,-,-,-,-,-,-
28122642,Bukayo Saka,30,69 kg,178 cm,,-,ENG,English Premier League,Arsenal,"$26,328,000 p/a",-,30/6/2034,"M (R), AM (RL)",M (R),49,"4,376",85%,0.23,0.21,3.09,1.52,0.41,20%,0.6,14%,1.37,1.15,0.37,0.95,0.33,0,10.32,2.63,83%,0.56,0,0.04,4.42,22%,0.99,0.31,6.89,10.08,15.08,4.07,13.2km,3.68,13.8,-,-,-,-,-,-,-
28116427,Eric García,31,78 kg,182 cm,,-,ESP,English Premier League,Liverpool,"$8,973,000 p/a",-,30/6/2033,"D (RC), DM","D (R), DM",18,"1,972",92%,0.05,0.18,7.03,0.68,0.18,25%,0.18,-,-1.09,0.23,-,0.32,0.05,1,3.9,2.69,81%,1,0.18,0.59,5.89,65%,3.83,0.64,12.92,9.31,11.23,0.64,12.7km,2.46,5.98,-,-,-,-,-,-,-
16191675,Niklas Hedl,31,81 kg,188 cm,,-,AUT,English Premier League,Tottenham,"$17,878,000 p/a",-,30/6/2033,GK,-,44,"3,850",93%,-,0,0.05,0,-,-,-,-,0,-,-,-,0,0,0,0.02,25%,0.61,0,0,-,-,-,-,4.42,6.55,0,-,6.2km,0,0,29,71,37,0.18,0.89,88%,78%
2000189871,Lewis Miley,26,76 kg,187 cm,,-,ENG,English Premier League,Burnley,"$4,182,000 p/a",$17.25M,30/6/2034,M/AM (C),-,1,410,87%,-,0.08,3.95,0.44,-,25%,0,-,-0.28,0.44,-,0.22,0.06,0,0.35,1.54,78%,0,0.22,0,3.51,63%,2.2,-,10.1,10.98,12.29,0.88,12.7km,2.2,10.32,-,-,-,-,-,-,-
2000098727,Rico Lewis,27,67 kg,169 cm,,-,ENG,English Premier League,Liverpool,"$22,410,000 p/a",-,30/6/2035,"D (RL), WB (R), DM, M (C)","WB (R), DM, M (C)",45,"3,869",89%,0.07,0.05,7.82,1.07,0.07,15%,0.19,8%,-1.05,0.09,0.02,0.09,0.05,0,2.11,2.95,77%,0.67,0.16,0.07,3.77,48%,1.81,0.56,11.17,15.24,12.98,1.84,13.0km,2.86,9.4,-,-,-,-,-,-,-
2002133512,Caine Wollerton,21,81 kg,187 cm,,-,ENG,English Premier League,Middlesbrough,"$3,538,000 p/a",-,30/6/2036,D (LC),D (L),29,"2,359",92%,0.04,0,4.35,0.38,-,25%,0.04,-,0,0,-,0.08,0,0,0.02,1.49,85%,0.8,0.34,0.99,5.95,60%,3.59,0.46,10.53,4.73,5.53,0.27,11.1km,1.34,2.79,-,-,-,-,-,-,-
28109689,Rhian Brewster,32,68 kg,178 cm,,-,ENG,English Premier League,Everton,"$4,419,000 p/a",-,30/6/2034,"AM (RLC), ST (C)",AM (RLC),18,"1,468",83%,0.06,0.07,0.98,0.8,-,43%,0.18,15%,0.85,1.23,0.37,0.67,0.32,0,1.08,1.41,85%,0.43,0.06,0,6.01,12%,0.74,0.06,1.9,24.58,7.36,0.92,12.5km,1.59,7.05,-,-,-,-,-,-,-
2000053516,Adam Wharton,28,77 kg,182 cm,,-,ENG,English Premier League,Brentford,"$3,045,000 p/a",$36.5M,30/6/2036,"DM, M (C)",-,26,"2,278",91%,0.28,0.19,5.1,1.38,0.4,8%,0.08,6%,-1.1,0.2,0.04,0.2,0.08,0,4.76,2.61,73%,0.51,0.08,0.32,3.48,41%,1.42,0.43,10.47,8.45,11.81,1.11,13.2km,3.16,10.04,-,-,-,-,-,-,-
16337125,Leopold Querfeld,28,82 kg,190 cm,,-,AUT,English Premier League,Burnley,"$5,980,000 p/a",-,30/6/2036,"D (C), DM",DM,40,"3,539",93%,0.03,0.03,4.55,0.15,0.05,0%,0,-,-1.08,0.13,-,0.18,0.03,1,1.23,1.09,88%,0.71,0.18,1.02,7.04,68%,4.81,0.53,17.95,2.85,6.15,0.23,11.9km,1.04,2.95,-,-,-,-,-,-,-
28113414,Keane Lewis-Potter,31,66 kg,170 cm,,-,ENG,English Premier League,Burnley,"$2,974,000 p/a",-,30/6/2034,"M (RL), AM (RLC), ST (C)","M (RL), ST (C)",1,266,84%,-,0.45,5.41,1.02,0.68,13%,0,-,-0.72,1.35,-,0.34,0.24,0,1.33,1.02,75%,0.34,0,0,4.06,25%,1.02,-,5.08,11.17,17.59,1.69,13.2km,2.37,10.49,-,-,-,-,-,-,-
28108035,Reece James,32,90 kg,179 cm,,-,ENG,English Premier League,Chelsea,"$21,370,000 p/a",-,30/6/2033,"D (RC), WB (R)",D (C),41,"3,831",90%,0.12,0.12,7.68,0.85,0.28,18%,0.38,4%,-1.79,0.14,0.02,0.19,0.07,1,4.91,2.63,76%,0.78,0.02,0.31,4.63,67%,3.1,0.38,14.05,11.25,15.79,1.43,13.2km,2.77,8.34,-,-,-,-,-,-,-
28124573,Levi Colwill,29,87 kg,187 cm,,-,ENG,English Premier League,Chelsea,"$19,330,000 p/a",-,30/6/2035,D (LC),D (L),52,"4,684",92%,-,0.05,5.17,0.56,0.06,13%,0.06,13%,0.91,0.19,0.06,0.19,0.04,0,2.86,1.23,70%,0.79,0.19,0.75,6.26,78%,4.9,0.54,16.31,3.61,8.09,0.65,12.1km,1.54,4.21,-,-,-,-,-,-,-
2002123354,Cenk Whyman,23,71 kg,175 cm,,Tight hamstring,ENG,English Premier League,Wolves,"$2,924,000 p/a",-,30/6/2035,"AM (RC), ST (C)",AM (RC),1,375,88%,-,0.05,1.2,0.24,0.24,0%,0,40%,3.41,1.68,0.96,0.96,0.14,0,0.19,1.44,86%,0,0,0,8.4,23%,1.92,0.24,1.44,17.28,6.48,1.92,11.3km,1.92,7.92,-,-,-,-,-,-,-
2000035036,Alejandro Garnacho,27,68 kg,181 cm,,-,ARG,English Premier League,Newcastle Utd,"$23,962,000 p/a",-,30/6/2036,"M (L), AM (RL), ST (C)","M (L), ST (C)",40,"3,177",85%,0.34,0.21,2.66,1.33,0.42,17%,0.51,22%,9.67,1.33,0.57,1.08,0.29,0,7.44,2.21,77%,0.57,0.03,0.03,4.79,33%,1.59,0.4,4.76,14.48,13.29,3.99,12.1km,3.68,12.55,-,-,-,-,-,-,-
2000135552,Bogdan Apostol,23,63 kg,164 cm,,-,ROU,English Premier League,Arsenal,"$5,373,000 p/a",-,30/6/2034,M/AM (C),AM (C),7,973,84%,0.28,0.22,4.25,1.57,0.46,20%,0.09,16%,0.4,1.11,0.46,1.11,0.43,0,2.33,1.57,85%,0.74,0,0,2.5,11%,0.28,0.37,11.75,11.38,13.23,1.39,14.0km,2.87,12.39,-,-,-,-,-,-,-
28104124,Trent Alexander-Arnold,33,69 kg,180 cm,,-,ENG,English Premier League,Liverpool,"$19,140,000 p/a",-,30/6/2033,"D/WB (R), DM",DM,43,"3,541",88%,0.13,0.11,7.42,0.97,0.3,26%,0.23,6%,-0.34,0.13,0.03,0.2,0.03,0,4.49,2.9,73%,1.02,0.23,0.38,4.4,64%,2.8,0.51,13.04,12.45,14.31,0.97,13.3km,2.69,8.39,-,-,-,-,-,-,-
2002144030,Kaidyn Wrightman,21,68 kg,172 cm,,-,ENG,English Premier League,Fulham,"$3,228,000 p/a",-,30/6/2036,"AM (RC), ST (C)",AM (RC),16,"1,418",84%,0.06,0.16,0.95,0.89,0.19,11%,0.06,17%,2.04,0.76,0.25,0.19,0.12,0,2.49,0.76,57%,0.19,0,0,5.39,15%,0.83,0.06,2.41,12.95,7.11,0.95,12.4km,1.4,7.11,-,-,-,-,-,-,-
2000040375,Ben Phillips,24,86 kg,194 cm,,-,ENG,English Premier League,Brighton,"$2,846,000 p/a",-,30/6/2036,"D (LC), WB (R), DM","D (L), WB (R), DM",36,"3,295",92%,-,0.02,4.92,0.3,0.11,45%,0.14,25%,1.27,0.08,0.05,0.05,0.02,1,0.88,1.42,83%,1.56,0.46,0.87,6.69,68%,4.53,0.38,15.08,4.56,7.21,0.16,11.8km,1.45,3.39,-,-,-,-,-,-,-
14157184,Alexis Mac Allister,33,68 kg,174 cm,,-,ARG,English Premier League,Liverpool,"$23,457,000 p/a",-,30/6/2033,"DM, M (C), AM (LC)",AM (L),26,"2,150",87%,0.08,0.26,3.73,1.42,0.71,21%,0.13,11%,0.48,0.67,0.17,0.84,0.15,0,6.3,1.67,71%,0.42,0.04,0,3.06,23%,0.71,0.33,10.13,14.11,11.51,1.34,13.2km,3.14,10.84,-,-,-,-,-,-,-
2002123165,Daniel Williams,22,86 kg,193 cm,,-,ENG,English Premier League,Aston Villa,"$2,802,000 p/a",-,30/6/2036,ST (C),-,37,"3,034",84%,0.12,0.08,0.86,0.59,0.21,0%,0,15%,4.83,1.66,0.5,1.22,0.36,0,2.73,1.16,75%,0.27,0,0.03,10.12,39%,3.92,0.24,2.61,18.66,6.82,1.42,12.1km,1.93,7.39,-,-,-,-,-,-,-
28124569,Tino Livramento,29,80 kg,185 cm,,-,ENG,English Premier League,Leeds Utd,"$8,012,000 p/a",-,30/6/2034,"D (RL), WB/AM (R)","D (L), WB/AM (R)",39,"3,500",91%,0.08,0.04,7.84,0.8,0.18,20%,0.26,-,-1.96,0.18,-,0.33,0.05,0,1.65,2.52,72%,0.87,0.26,0.31,4.6,64%,2.93,0.67,11.55,11.44,14.89,2.06,12.7km,2.42,9.15,-,-,-,-,-,-,-
2000023588,Michael Kayode,27,69 kg,179 cm,,-,ITA,English Premier League,Man City,"$15,751,000 p/a",-,30/6/2035,"D (RL), WB (R)",D (L),47,"3,886",92%,0.16,0.16,6.88,1.11,0.28,18%,0.51,6%,-0.9,0.07,0.02,0.14,0.04,0,6.96,2.52,80%,0.9,0.12,0.35,5.74,71%,4.08,0.32,12.44,13.27,17.14,2.69,13.3km,2.43,8.94,-,-,-,-,-,-,-
2002075095,Javlon Clement-Peter,24,85 kg,191 cm,,-,ENG,English Premier League,Newcastle Utd,"$18,252,000 p/a",-,30/6/2035,"D (RLC), M (C)","D (L), M (C)",47,"4,082",93%,-,0.06,8.16,0.64,0.04,16%,0.2,7%,-1.6,0.13,0.04,0.29,0.08,1,2.82,2.34,76%,0.77,0.15,0.68,6.2,69%,4.28,0.55,14.73,7.43,10.12,0.84,12.2km,2.56,7.34,-,-,-,-,-,-,-
16254134,Moritz Oswald,30,66 kg,171 cm,,-,AUT,English Premier League,Brighton,"$9,554,000 p/a",-,30/6/2035,"DM, M (C), AM (RC)","DM, AM (RC)",34,"2,694",85%,0.07,0.14,3.17,1.14,0.1,26%,0.2,-,-2.78,0.23,-,0.33,0.09,0,4.28,1.9,70%,0.37,0.03,0.07,2.87,45%,1.3,0.27,10.96,14.6,12.63,1.14,13.1km,3.17,12.43,-,-,-,-,-,-,-
28100266,Marcus Rashford,34,69 kg,183 cm,,-,ENG,English Premier League,Man Utd,"$17,643,000 p/a",-,30/6/2033,"M (L), AM (LC), ST (C)","M (L), AM (C), ST (C)",48,"3,692",83%,0.22,0.22,3.39,1.34,0.59,31%,0.8,17%,3.37,1.17,0.51,1.15,0.35,0,9.21,2.97,90%,0.71,0,0.07,5.07,43%,2.19,0.41,7.04,16.75,13.41,2.9,13.2km,4.24,13.63,-,-,-,-,-,-,-
