UID,Name,Age,Weight,Height,Rc Injury,Nat,Division,Club,Wage,Expires,Position,Sec. Position,Starts,Mins,Pas %,Asts/90,xA/90,Pr passes/90,OP-KP/90,Ch C/90,OP-Cr %,OP-Crs C/90,Conv %,xG-OP,ShT/90,Shots Outside Box/90,NP-xG/90,Gl Mst,Tck/90,Tck R,Clr/90,K Tck/90,K Hdrs/90,Aer A/90,Hdr %,Hdrs W/90,Blk/90,Poss Won/90,Poss Lost/90,Sprints/90,Drb/90,Dist/90,Pres C/90,Pres A/90,Svt,Svp,Svh,xGP/90
2002087224,Scot Gorza,19,78 kg,188 cm,-,AUS,Isuzu UTE A-League,Brisbane Roar,"€3,600 p/a",30/6/2027,D (LC),-,18,"1,541",89%,-,0.02,2.63,0.12,-,0%,0,25%,0.69,0.06,0,0.02,0,1.4,89%,2.22,0.12,1.4,7.77,66%,5.14,0.82,14.83,7.24,6.42,0.18,11.1km,1.11,4.09,-,-,-,-
2002087231,Emanuele Fanton,19,72 kg,179 cm,-,AUS,Isuzu UTE A-League,Brisbane Roar,"€3,600 p/a",30/6/2027,AM (C),-,21,"1,706",85%,0.11,0.05,1.42,1.16,0.11,33%,0.21,12%,0.41,0.26,0.42,0.14,0,0.79,56%,1.16,0.05,0.05,7.28,22%,1.64,0.37,11.45,20.15,10.18,1.16,13.2km,1.64,8.65,-,-,-,-
2000017419,Aiki Tsukamoto,20,69 kg,176 cm,-,AUS,Isuzu UTE A-League,Perth Glory,"€3,600 p/a",30/6/2026,"DM, M (C)",-,25,"2,053",87%,0.26,0.14,2.67,0.96,0.22,14%,0.09,17%,1.95,0.39,0.39,0.09,0,1.14,51%,1.05,0.04,0.18,4.78,50%,2.41,0.61,14.38,14.25,8.9,0.75,12.0km,2.37,11.09,-,-,-,-
13194015,Elhadj Bah,23,70 kg,183 cm,-,GUI,Spor Toto 1. Lig,Yeni Malatyaspor,"€4,500 p/a",30/6/2026,ST (C),-,37,"2,747",86%,-,0.06,0.69,0.69,0.03,19%,0.13,13%,1.14,0.33,0.33,0.09,0,0.92,78%,0.62,0,0.13,12.02,35%,4.19,0.1,1.38,20.18,4.78,0.98,10.9km,1.51,6.52,-,-,-,-
2002082980,Suleimane Cassamá,29,88 kg,198 cm,-,GNB,Liga Portugal 2 SABSEG,AVS SAD,"€4,900 p/a",30/6/2026,D (C),-,34,"2,988",87%,-,0.03,3.37,0.18,0.06,0%,0,15%,0.47,0.15,0.18,0.08,0,0.69,62%,1.27,0.12,1.39,9.43,80%,7.53,0.54,13.61,3.64,4.76,0.21,10.6km,0.99,2.86,-,-,-,-
2000299045,Oğuz Çolak,21,89 kg,194 cm,-,TUR,Spor Toto 1. Lig,A. Keçiörengücü,"€5,000 p/a",30/6/2028,D (C),-,20,"1,958",83%,0.05,0.02,3.49,0.46,0.05,0%,0,-,-0.75,0,0,0.03,0,1.24,82%,1.98,0.32,1.2,8.96,75%,6.71,0.41,9.42,4.78,4.6,0.05,10.9km,1.42,2.99,-,-,-,-
2000289762,Metehan Ünal,21,76 kg,189 cm,-,TUR,Spor Toto 1. Lig,Yeni Malatyaspor,"€5,000 p/a",30/6/2025,DM,-,32,"2,662",88%,0.2,0.2,5.17,1.52,0.1,30%,0.1,5%,-0.57,0.27,0.14,0.05,0,1.72,70%,0.91,0,0.37,5.51,56%,3.11,0.37,11.63,8.52,9.13,0.74,12.3km,2.57,8.66,-,-,-,-
2000172231,Tomás Olmos,20,72 kg,171 cm,-,ARG,Keuken Kampioen Divisie,TOP Oss,"€6,500 p/a",31/12/2027,D/WB (R),-,33,"2,798",86%,0.06,0.08,5.05,0.77,0.16,7%,0.26,7%,-1.88,0.16,0.32,0.16,0,2.19,81%,1.45,0.1,0.29,5.47,48%,2.61,0.51,10.61,13.64,14.54,1.32,12.2km,2.03,6.88,-,-,-,-
2000248481,Mustafa Karaman,21,71 kg,169 cm,-,TUR,Spor Toto 1. Lig,Altınordu,"€6,750 p/a",30/6/2027,AM (RL),-,21,"2,002",83%,0.18,0.16,2.11,1.57,0.31,17%,0.85,17%,1.81,0.36,0.4,0.1,0,2.07,82%,1.03,0,0.04,6.34,25%,1.57,0.27,3.78,19.42,12.27,2.65,12.0km,3.37,11.73,-,-,-,-
2000324689,Mustafa Kaçan,18,68 kg,180 cm,-,TUR,Spor Toto 1. Lig,Denizlispor,"€6,750 p/a",30/6/2026,"DM, M (C)",-,34,"2,652",86%,0.17,0.16,3.53,0.88,0.1,31%,0.17,-,-0.66,0.14,0.24,0.02,0,1.73,66%,1.02,0.07,0.2,4.17,43%,1.8,0.58,11.81,8.89,10.15,1.15,12.7km,2.65,10.32,-,-,-,-
2000334766,Emre Burgaz,21,67 kg,176 cm,-,TUR,Spor Toto 1. Lig,Denizlispor,"€6,750 p/a",30/6/2027,ST (C),-,35,"2,722",85%,-,0.03,0.69,0.6,-,5%,0.03,8%,-2.5,1.09,0.86,0.28,0,0.86,79%,0.79,0,0.03,10.78,16%,1.69,0.07,1.55,21.03,6.61,1.06,11.4km,1.59,6.22,-,-,-,-
2000326731,Onur Yıldız,18,68 kg,185 cm,-,TUR,Spor Toto 1. Lig,Altay,"€6,750 p/a",30/6/2026,ST (C),-,11,830,89%,-,0.07,0.43,0.43,0.22,0%,0,7%,-0.05,0.65,0.54,0.11,0,0.87,89%,0.33,0,0,12.04,28%,3.36,0.22,1.3,19.84,5.31,1.52,11.1km,1.84,6.4,-,-,-,-
2002084781,Maurício de Bastos,17,66 kg,173 cm,-,POR,Liga Portugal 2 SABSEG,Belenenses,"€7,250 p/a",30/6/2026,D (LC),-,10,921,86%,0.39,0.08,3.62,0.68,0.1,25%,0.2,-,-0.16,0.1,0,0.02,0,1.56,84%,1.95,0.29,0.59,6.06,73%,4.4,0.39,9.67,5.18,3.62,0.2,10.7km,1.76,3.52,-,-,-,-
2002086109,Ricardo Sobral,18,61 kg,165 cm,-,POR,Liga Portugal 2 SABSEG,Leixões,"€8,250 p/a",30/6/2028,D (R),-,15,"1,346",79%,0.13,0.1,4.55,0.8,0.4,20%,0.74,5%,-1.36,0.4,0.53,0.16,0,2.47,77%,1.14,0.2,0.53,5.95,54%,3.21,0.33,8.83,18.66,14.51,1.07,11.8km,2.27,7.09,-,-,-,-
2002086066,Adil Perin,17,66 kg,176 cm,-,POR,Liga Portugal 2 SABSEG,Tondela,"€8,250 p/a",30/6/2027,D (L),-,26,"2,129",88%,-,0.11,5.24,1.06,0.25,18%,0.68,-,-0.33,0,0.04,0.01,0,2.96,85%,1.31,0.04,0.47,4.82,54%,2.58,0.76,10.7,16.78,15.39,1.06,12.7km,2.71,7.95,-,-,-,-
2000272637,Harrison Rice,18,62 kg,170 cm,-,ENG,Sky Bet League One,Bolton,"€9,250 p/a",30/6/2026,WB/AM (L),-,13,"1,118",86%,0.08,0.06,3.06,1.21,-,17%,1.13,-,-0.08,0,0,0.01,0,1.29,62%,1.77,0.16,0.08,4.03,42%,1.69,1.05,2.25,26,10.79,1.69,12.0km,1.93,10.47,-,-,-,-
2000038243,Fatih Yılmaz,22,75 kg,188 cm,-,TUR,Spor Toto 1. Lig,Yeni Malatyaspor,"€9,250 p/a",30/6/2026,D (C),-,19,"1,844",82%,-,0.03,4.93,0.54,-,9%,0.1,14%,0.36,0.05,0.1,0.03,0,1.42,81%,1.61,0.15,0.68,7.47,69%,5.12,0.78,7.57,11.03,6.98,0.24,11.2km,1.37,4.25,-,-,-,-
13222415,Naby Youssouf Oularé,22,79 kg,188 cm,-,GUI,Spor Toto 1. Lig,Boluspor,"€10,250 p/a",30/6/2027,D (RC),-,35,"2,820",86%,0.1,0.04,4.76,0.8,0.06,17%,0.32,8%,-0.02,0.22,0.26,0.06,0,1.53,77%,1.82,0.19,0.86,8.07,77%,6.22,0.54,16.5,6.96,7.47,0.38,11.0km,1.82,4.76,-,-,-,-
2000104452,Pedro Sanca,20,72 kg,184 cm,-,POR,Liga Portugal 2 SABSEG,AVS SAD,"€10,500 p/a",30/6/2026,AM (RL),-,13,"1,322",87%,0.07,0.03,1.63,1.02,-,14%,0.14,11%,0.29,0.14,0.14,0.05,0,0.68,63%,0.68,0,0.07,6.26,29%,1.84,0.27,3.74,27.44,9.67,1.7,12.7km,1.77,8.44,-,-,-,-
2000207265,Ivan Imasuen,18,62 kg,171 cm,-,ENG,Sky Bet League One,Leyton Orient,"€10,500 p/a",30/6/2026,D/WB (R),-,12,"1,196",84%,-,0,3.76,1.51,-,11%,0.9,-,-0.32,0,0.15,0.02,0,2.71,78%,1.43,0.08,0.38,5.64,53%,3.01,0.38,4.74,24.16,15.13,1.35,13.5km,3.24,9.86,-,-,-,-
2002091950,Tamas Waples,18,63 kg,171 cm,-,AUS,Isuzu UTE A-League,Perth Glory,"€10,750 p/a",30/6/2026,M (L),-,23,"1,805",82%,0.15,0.13,3.79,1.6,0.35,12%,0.6,9%,0.27,0.15,0.15,0.04,0,2.04,91%,0.95,0.1,0,5.24,31%,1.65,0.3,1.84,17.25,13.81,1.89,12.7km,2.69,9.92,-,-,-,-
37085332,Morgan Zouan,22,83 kg,194 cm,-,NED,Keuken Kampioen Divisie,TOP Oss,"€12,750 p/a",30/6/2025,D (C),-,12,"1,158",87%,-,0,3.5,0.23,-,50%,0.08,7%,-1.33,0.31,0.23,0.18,0,0.85,85%,1.55,0.31,0.93,9.87,74%,7.31,0.78,13.13,5.28,4.59,-,11.4km,0.78,3.03,-,-,-,-
2002086046,Salvador Schneider,18,75 kg,182 cm,-,POR,Liga Portugal 2 SABSEG,Belenenses,"€13,000 p/a",30/6/2027,D (C),-,13,"1,031",89%,-,0.07,3.49,0.26,-,0%,0,-,-0.28,0.09,0.17,0.02,0,1.83,84%,1.22,0.26,1.22,9.95,68%,6.81,0.26,15.1,5.06,4.98,0.17,10.8km,1.92,3.93,-,-,-,-
2000235296,Mateo Caicedo,18,74 kg,177 cm,-,COL,Liga Portugal 2 SABSEG,Belenenses,"€13,000 p/a",30/6/2028,AM (R),-,23,"1,949",88%,0.05,0.03,1.8,1.11,0.14,13%,0.6,17%,2.13,0.55,0.51,0.18,0,1.66,88%,1.11,0,0,5.31,26%,1.39,0.42,4.8,19.67,13.21,2.82,12.2km,2.54,10.25,-,-,-,-
2000212937,David Đurić,19,71 kg,174 cm,-,SRB,Keuken Kampioen Divisie,RKC,"€13,500 p/a",30/6/2026,D (L),-,29,"2,367",88%,0.04,0.08,5.36,0.8,0.11,9%,0.23,-,-0.67,0.04,0.08,0.03,0,3.08,84%,1.25,0.19,0.08,4.71,48%,2.28,0.87,13.5,15.21,13.88,1.52,12.4km,2.55,8.37,-,-,-,-
2000109926,Mário Junior,22,76 kg,188 cm,-,GNB,Liga Portugal 2 SABSEG,AVS SAD,"€13,750 p/a",30/6/2025,D (C),-,34,"2,913",83%,-,0.02,3.09,0.37,0.03,50%,0.06,10%,0.34,0.09,0.31,0.05,0,0.93,71%,1.73,0.43,1.27,9.76,71%,6.89,0.49,10.2,5.22,4.29,0.12,10.9km,1.2,3.09,-,-,-,-
2000007554,Jeremy Santos,22,64 kg,168 cm,-,ENG,Sky Bet League One,Charlton,"€14,250 p/a",30/6/2025,M/AM (C),-,12,"1,052",83%,-,0.13,1.97,0.77,0.17,8%,0.09,23%,2.06,0.51,0.26,0.08,0,1.45,81%,0.77,0,0.09,5.65,15%,0.86,0.17,8.3,22.41,8.9,1.63,11.8km,2.14,9.5,-,-,-,-
2000062966,Kaique,22,83 kg,190 cm,-,BRA,Keuken Kampioen Divisie,TOP Oss,"€14,500 p/a",31/12/2026,GK,-,28,"2,321",64%,-,0,0,0.04,-,-,-,-,0,-,-,0,0,0,0%,7.29,0,0,-,-,-,-,3.76,7.87,0,-,5.5km,0,0,15,58,22,0.05
29234591,Luke Hutchinson,22,79 kg,185 cm,-,ENG,Sky Bet League One,Bolton,"€14,750 p/a",30/6/2026,GK,-,10,"1,309",57%,-,0,0,0.07,-,-,-,-,0,-,-,0,0,0,0%,8.73,0,0,-,-,-,-,1.86,11.21,0,-,5.3km,0,0,10,17,9,-0.1
2000165819,Doğukan Tuzcu,19,65 kg,176 cm,-,TUR,Spor Toto 1. Lig,Boluspor,"€14,750 p/a",30/6/2026,D (L),-,35,"3,107",81%,0.06,0.05,5.82,1.07,0.12,17%,0.55,-,-1.03,0.03,0.03,0.03,0,2.2,82%,1.45,0.17,0.41,5.74,54%,3.1,0.98,13.24,15.64,14.83,1.56,13.0km,2.09,7.85,-,-,-,-
2000225040,Hugo Sousa,20,77 kg,187 cm,-,POR,Liga Portugal 2 SABSEG,Torreense,"€15,750 p/a",30/6/2025,GK,-,22,"2,131",57%,-,0,0,0.04,-,-,-,-,0,-,-,0,1,0,0%,8.4,0,0,-,-,-,-,1.65,10.01,0,-,5.7km,0,0,19,39,19,-0.04
2000145921,Siyabonga Gumede,22,76 kg,185 cm,-,RSA,DStv Premiership,Maritzburg Utd,"€16,250 p/a",30/6/2026,D (C),-,25,"2,000",85%,-,0.02,3.87,0.18,0.04,0%,0,5%,-1.73,0.14,0.27,0.12,0,0.99,61%,1.44,0.09,1.57,9,72%,6.48,0.32,9.77,5.13,4.46,0.04,11.0km,1.3,3.47,-,-,-,-
2000096497,Arda Okan Kurtulan,22,72 kg,183 cm,-,ALB,Spor Toto 1. Lig,Adana D.S.,"€16,500 p/a",30/6/2025,"AM (L), ST (C)",-,10,"1,419",86%,0.13,0.09,1.9,1.14,0.06,6%,0.25,-,-1.92,0.51,0.57,0.12,0,1.33,72%,1.33,0,0,6.91,48%,3.3,0.44,1.9,22.83,10.72,2.98,12.0km,2.54,9.77,-,-,-,-
2000129187,Sarper Çağlar,22,69 kg,180 cm,-,TUR,Spor Toto 1. Lig,Hatayspor,"€16,750 p/a",30/6/2026,AM (RL),-,11,"1,388",84%,0.06,0.1,2.33,1.69,0.26,13%,0.52,16%,2.05,0.91,0.65,0.13,0,1.69,76%,1.23,0.06,0,7.59,38%,2.85,0.39,3.5,19.97,12.58,2.98,12.8km,3.57,11.41,-,-,-,-
70080397,Fatih Solmaz,36,80 kg,186 cm,-,TUR,Spor Toto 1. Lig,Yeni Malatyaspor,"€16,750 p/a",30/6/2026,D (C),-,28,"2,577",87%,0.03,0.03,4.09,0.28,0.14,0%,0,9%,-0.12,0.03,0.07,0.04,0,0.98,67%,1.47,0.14,0.87,9.19,68%,6.22,0.52,12.57,4.68,4.23,0.07,10.9km,1.15,4.12,-,-,-,-
67184445,Pape Assane,27,71 kg,183 cm,-,SEN,Liga Portugal 2 SABSEG,Amora,"€17,250 p/a",30/6/2026,"DM, M (C)",-,31,"2,543",86%,-,0.07,3.79,1.31,0.07,20%,0.14,-,-0.36,0.04,0,0.01,0,2.12,73%,1.03,0.07,0.6,6.3,60%,3.75,0.39,10.05,16.99,8.46,0.57,12.0km,2.97,8.6,-,-,-,-
83228315,Luca van der Gaag,23,67 kg,190 cm,-,NED,Keuken Kampioen Divisie,FC Dordrecht,"€17,500 p/a",30/6/2026,D (C),-,14,"1,247",83%,-,0.01,4.26,0.58,-,0%,0,-,-0.21,0.07,0,0.02,0,0.79,52%,1.52,0.58,0.79,8.66,58%,4.98,0.29,14.51,2.74,4.33,0.07,11.5km,1.44,3.61,-,-,-,-
37070211,Robin Jalving,25,81 kg,193 cm,-,NED,Keuken Kampioen Divisie,TOP Oss,"€17,500 p/a",30/6/2025,GK,-,11,"1,168",44%,-,0,0,0,-,-,-,-,0,-,-,0,0,0.08,50%,10.48,0,0,-,-,-,-,2.85,9.48,0,-,5.0km,0,0,17,30,12,0.3
2002084904,Mamadú Pina,18,67 kg,177 cm,-,POR,Liga Portugal 2 SABSEG,Tondela,"€17,750 p/a",30/6/2027,ST (C),-,21,"1,805",86%,-,0.03,1,0.55,0.15,5%,0.05,15%,2.8,1.35,0.65,0.26,0,0.9,60%,0.4,0,0.05,8.58,26%,2.19,0.3,1.5,21.94,6.98,1.45,11.5km,1.84,7.53,-,-,-,-
2000072966,Nadir Marguaa,22,75 kg,179 cm,-,NED,Keuken Kampioen Divisie,FC Eindhoven,"€17,750 p/a",30/6/2026,D/WB (R),-,35,"2,994",87%,0.09,0.03,6.1,1.44,-,17%,0.6,5%,-2.67,0.33,0.75,0.17,0,2.53,87%,1.74,0.15,0.6,6.67,46%,3.1,0.42,11.81,13.74,15.6,0.54,12.3km,2.28,7.48,-,-,-,-
2000129191,Yiğit Ulaş,20,74 kg,183 cm,-,TUR,Spor Toto 1. Lig,Yeni Malatyaspor,"€18,000 p/a",30/6/2026,D (C),-,21,"1,968",84%,-,0.01,4.94,0.69,-,5%,0.09,16%,0.87,0.37,0.18,0.1,0,1.74,70%,1.28,0.18,0.69,6.63,63%,4.16,0.55,9.92,10.79,7.5,0.78,11.6km,2.29,5.53,-,-,-,-
70101628,Batuhan Yayıkcı,28,85 kg,188 cm,-,TUR,Spor Toto 1. Lig,Bandırma Spor,"€18,000 p/a",30/6/2026,D (C),-,31,"2,784",88%,0.03,0.03,3.88,0.42,0.13,14%,0.03,8%,-0.38,0.1,0.1,0.04,0,1.49,85%,1.65,0.39,0.91,8.11,75%,6.05,0.36,13.25,3.33,5.14,0.1,11.0km,1.42,3.46,-,-,-,-
2000062996,Thomas Hoyle,21,64 kg,184 cm,-,ENG,Sky Bet League One,Fleetwood,"€18,750 p/a",30/6/2026,D (C),-,13,"1,205",88%,-,0.04,3.29,0.37,0.07,0%,0,-,-1.4,0.3,0.45,0.1,0,1.05,82%,1.94,0.22,0.6,8.29,71%,5.9,1.05,10.31,3.96,5.08,-,11.0km,1.27,2.84,-,-,-,-
2000204338,Baran Gezek,19,72 kg,179 cm,Sprained ankle ligaments,TUR,Spor Toto 1. Lig,Tuzlaspor,"€19,500 p/a",30/6/2026,"DM, M (C)",-,18,"1,424",87%,0.06,0.13,3.73,1.45,0.13,27%,0.38,-,-1.44,0.13,0.19,0.09,0,1.33,72%,1.07,0,0.13,4.55,24%,1.07,0.38,8.6,16.18,7.9,1.01,11.8km,2.72,9.8,-,-,-,-
2000185608,Berat Yaman,22,67 kg,171 cm,-,TUR,Spor Toto 1. Lig,Yeni Malatyaspor,"€19,750 p/a",30/6/2026,D (L),-,33,"2,844",87%,0.03,0.09,6.68,1.42,0.28,11%,0.54,-,-0.53,0,0.03,0.02,0,2.5,81%,1.71,0.06,0.57,5,46%,2.31,0.51,9.91,17.59,13.35,0.76,12.2km,2.59,8.04,-,-,-,-
83231170,Tomás Azevedo,24,69 kg,178 cm,-,POR,Liga Portugal 2 SABSEG,Amora,"€20,000 p/a",30/6/2028,M (C),-,32,"2,175",90%,0.08,0.15,3.85,1.37,0.21,14%,0.17,6%,-0.27,0.25,0.25,0.05,0,1.9,70%,1.08,0.04,0.62,5.59,50%,2.77,0.29,11.83,13.45,8.28,0.79,12.2km,2.81,11.34,-,-,-,-
83138564,Álvaro Milhazes,28,68 kg,173 cm,-,POR,Liga Portugal 2 SABSEG,Tondela,"€20,000 p/a",30/6/2026,"D (L), DM",-,12,"1,392",87%,-,0.09,5.3,1.29,0.26,20%,0.65,-,-0.24,0,0,0.02,0,2,89%,1.62,0.13,0.26,4.53,50%,2.26,0.84,9.12,15.13,13.97,0.78,13.4km,2,8.28,-,-,-,-
28116464,Cameron Evans,24,72 kg,180 cm,-,WAL,Sky Bet League One,Leyton Orient,"€20,000 p/a",30/6/2025,D (C),-,16,"1,632",85%,0.06,0.02,4.25,0.44,-,25%,0.11,-,-1.28,0.11,0.22,0.07,0,1.1,65%,1.38,0.5,0.66,8.05,68%,5.46,0.22,10.81,3.64,4.47,0.06,10.8km,1.71,3.86,-,-,-,-
2000245726,Luca Bastilla,19,74 kg,185 cm,-,ARG,Keuken Kampioen Divisie,FC Den Bosch,"€20,500 p/a",31/12/2025,M/AM (R),-,32,"2,241",86%,0.08,0.08,2.45,1.89,0.08,16%,0.72,17%,1.43,0.44,0.44,0.1,0,1.89,85%,1.49,0,0.16,6.99,33%,2.29,0.4,3.94,19.32,11.77,2.85,12.2km,3.17,10.88,-,-,-,-
2000016814,Prince Adegoke,21,97 kg,195 cm,-,NGA,Sky Bet League One,Charlton,"€21,000 p/a",30/6/2026,GK,-,24,"2,102",43%,-,0,0,0.04,-,-,-,-,0,-,-,0,2,0,0%,8.56,0,0,-,-,-,-,2.23,12.72,0,-,5.1km,0,0,8,29,12,0.02
2002083849,Harrison Askew,18,67 kg,174 cm,-,ENG,Sky Bet League One,Exeter,"€21,000 p/a",30/6/2027,AM (RLC),-,10,"1,056",85%,0.09,0.14,3.15,1.11,0.09,25%,0.17,14%,0.6,0.51,0.34,0.12,0,1.36,76%,1.11,0,0.26,6.82,21%,1.45,0.26,6.9,20.03,8.35,1.79,11.4km,2.3,9.55,-,-,-,-
2000128241,Lukas Kelly-Heald,20,91 kg,198 cm,-,NZL,Isuzu UTE A-League,Wellington Phoenix,"€21,500 p/a",30/6/2027,D (LC),-,29,"2,640",91%,-,0.07,4.64,0.34,0.07,33%,0.1,-,-2.22,0.07,0.2,0.08,0,1.6,80%,1.47,0.38,1.09,7.81,76%,5.93,0.38,16.12,3.34,5.25,0.38,10.9km,1.53,4.02,-,-,-,-
2000289790,Güneş Güventürk,19,82 kg,193 cm,-,TUR,Spor Toto 1. Lig,Sakaryaspor,"€21,500 p/a",30/6/2027,ST (C),-,20,"1,889",85%,0.05,0.12,0.76,0.71,0.24,10%,0.05,12%,1.26,1.57,1.1,0.37,0,0.71,68%,0.71,0,0.19,12.91,48%,6.19,0.29,1.76,17.72,6.38,0.76,11.4km,1.57,6.81,-,-,-,-
15086535,Thomas Aquilina,24,64 kg,178 cm,-,MLT,Isuzu UTE A-League,Newcastle Jets,"€21,500 p/a",30/6/2026,D/WB (RL),-,28,"2,373",85%,0.08,0.11,3.07,1.63,0.04,11%,0.8,-,-0.2,0.04,0.08,0.01,0,2.31,77%,1.82,0.08,0.23,5.12,32%,1.63,0.83,13.27,17.83,14.72,1.18,13.4km,2.92,11.26,-,-,-,-
55083386,Zé Oliveira,29,75 kg,187 cm,-,POR,Liga Portugal 2 SABSEG,Leiria,"€22,000 p/a",30/6/2025,D (C),-,24,"2,469",90%,-,0.03,4.01,0.73,0.04,25%,0.04,5%,-1.3,0.11,0.26,0.08,0,1.24,76%,1.71,0.18,0.95,7.58,69%,5.21,0.47,12.58,5.21,5.65,0.07,10.9km,1.53,4.63,-,-,-,-
28126170,Jack Leahy,22,66 kg,173 cm,-,ENG,Sky Bet League One,MK Dons,"€22,000 p/a",30/6/2026,AM (RL),-,14,888,81%,0.1,0.22,3.34,1.82,0.2,13%,0.81,25%,0.56,0.1,0.1,0.04,0,2.53,96%,0.61,0,0,5.57,22%,1.22,0.2,3.24,18.24,11.05,3.24,13.0km,2.94,9.02,-,-,-,-
2000237698,Berkant Gündem,22,66 kg,180 cm,-,TUR,Spor Toto 1. Lig,Denizlispor,"€22,500 p/a",30/6/2027,D/AM (R),-,12,"1,704",87%,-,0.06,3.54,0.85,0.16,14%,0.58,-,-1.16,0.16,0.26,0.06,0,1.8,83%,1.16,0.05,0.26,7.29,47%,3.43,0.63,5.97,18.7,14.21,1.8,12.4km,2.11,8.4,-,-,-,-
