name,uid,pressures,tackleRating,posessionWonPer90,ballRetention,progressivePassesPer90,keyPasses,passesPercent,badges,ratingScores
Filippo Terracciano,43500821,61.38,95.34,87.73,82.7,87.13,58.68,83.96,anchor,{"anchor":85}
Alexis Mac Allister,14157184,34.98,44.22,9.61,12.17,9.28,37.73,45.76,,{}
Dani Olmo,24048100,90.44,7,33.72,12.69,94.64,97.62,45.76,,{}
Ibrahima Bamba,2000052247,25.19,44.22,81.53,83.49,88.85,23.65,83.96,anchor,{"anchor":85}
Brahim Díaz,28106999,29.52,7,11.19,21.41,41.09,48.41,36.99,,{}
Roger Ibañez,19337893,6.48,3.96,94.68,97.71,67.12,19.03,97.99,,{}
Samuele Ricci,43390774,40.11,32.84,33.96,41.46,72.2,80.5,75.7,,{}
Umut Tohumcu,2000069208,85.63,12.27,69.92,49.81,95.85,89.93,75.7,,{}
Pau Torres,67217522,11.33,5.27,74.95,92.02,65.49,10.73,97.99,,{}
James Garner,28115831,54.43,79.29,59.38,40.16,92.54,78.78,65.53,,{}
Javlon Clement-Peter,2002075095,56.81,75.09,99.86,99.67,99.95,29.94,89.74,anchor,{"anchor":96}
Alan Varela,14241914,81.02,79.29,34.61,54.8,95.2,94.5,75.7,,{}
Thiago Almada,14172522,43.84,28.17,11.99,14.23,10.68,47.67,17.3,,{}
Kang-In Lee,67260506,79.52,12.27,12.36,0.23,24.3,97.29,22.67,,{}
Eric García,28116427,13.01,18.98,83.4,91.93,61.29,13.11,97.99,,{}
Facundo Torres,78088646,36.33,64.18,9.84,33.16,15.16,44.92,29.38,,{}
Luis Díaz,76049803,73.79,82.93,23.37,7.6,40.35,28.22,36.99,,{}
Rúben Neves,55070307,72.81,75.09,29.8,32.7,85.59,54.57,65.53,,{}
Nicolò Rovella,43372892,50.09,15.95,36.85,31.76,98.32,82.46,45.76,,{}
Oihan Sancet,67260204,64.88,50.7,46.88,30.64,18.52,55.27,22.67,,{}
Charles De Ketelaere,18110528,41.23,64.18,22.9,15.16,25.51,77.1,29.38,,{}
Federico Silva,2002074618,95.15,88.81,18.8,0.42,20.34,95.57,22.67,,{}
Curtis Jones,28115788,96.5,32.84,30.64,3.87,39.23,64.04,17.3,,{}
Kauê,2002120044,20.9,32.84,97.15,96.97,95.1,34.42,94.4,anchor,{"anchor":95}
Trevoh Chalobah,28103591,10.4,57.65,89.79,98.09,49.07,1.63,97.99,,{}
Joris Chotard,49048599,52.71,57.65,35.77,26.77,42.44,88.62,45.76,,{}
Victor Eletu,2000136420,67.3,32.84,45.2,56.3,88.48,70.48,75.7,,{}
Ivan Ilić,62201068,45.24,69.96,53.5,35.4,90.35,83.77,65.53,,{}
Samuel Iling,2000034525,82.7,38.15,24.35,2.47,23.79,96.41,17.3,,{}
Yaser Asprilla,2000053239,45.71,12.27,19.36,20.29,15.25,81.39,22.67,,{}
Rafael Luís,83297596,82.28,28.17,59.1,39.65,64.79,92.35,45.76,,{}
Perr Schuurs,37062161,25.84,57.65,97.9,99.58,96.13,20.71,94.4,anchor,{"anchor":97}
David Carmo,83111598,16.79,2.71,71.83,91,52.66,13.11,89.74,,{}
Davide Frattesi,43272557,86.66,15.95,80.97,66.46,58.82,26.12,55.55,,{}
Emile Smith Rowe,28109599,92.86,92.63,19.36,3.4,61.29,79.9,10.35,,{}
Sivert Mannsverk,53159880,50.65,23.27,43.75,26.45,28.36,51.91,36.99,,{}
Florentino Luís,83169817,49.35,32.84,48.79,61.33,93.33,59.75,75.7,,{}
Williot Swedberg,2000008568,29.01,69.96,6.48,15.67,4.52,40.72,17.3,,{}
Jakob Napoleon Romsaas,2000072641,59.33,82.93,15.67,0.7,44.03,90.67,10.35,,{}
Flavius Daniliuc,91172522,65.95,57.65,98.83,85.03,72.2,40.72,45.76,,{}
Sofiane Diop,49037827,94.87,69.96,25.93,3.31,33.63,62.17,22.67,,{}
Lucas Paquetá,19226741,91.65,50.7,26.82,23.55,73.93,55.27,22.67,,{}
Josip Stanišić,91190673,29.01,79.29,91.7,89.6,76.73,33.07,89.74,anchor,{"anchor":85}
Giannis Konstantelias,36159280,56.81,50.7,15.67,1.82,31.95,95.57,10.35,,{}
Mads Bidstrup,27139716,85.12,64.18,45.2,28.13,84.28,91.28,36.99,,{}
Shea Charles,2000027898,50.09,75.09,98.37,89.32,59.28,71.92,65.53,,{}
Dani Vivian,67256618,21.18,92.63,83.07,96.46,66.51,15.9,94.4,,{}
Amadou Onana,91207274,31.16,75.09,74.58,65.39,89.23,84.61,65.53,,{}
Mohamed Camara,13193983,77.94,15.95,32.65,36.66,49.58,78.78,65.53,,{}
Patrick Wimmer,16253898,93.56,57.65,69.92,19.73,44.54,98.46,22.67,,{}
Kiernan Dewsbury-Hall,28106342,95.76,12.27,39.88,19.08,84.89,57.74,22.67,,{}
Morten Frendrup,27132198,51.73,44.22,20.2,38.62,54.52,64.04,75.7,,{}
Tijjani Reijnders,37071126,86.19,18.98,64.79,67.86,76.12,68.8,65.53,,{}
Martín Zubimendi,67246385,45.71,38.15,29.38,37.27,92.21,49.07,65.53,,{}
André,19375640,46.97,64.18,33.16,66,89.13,92.68,89.74,,{}
Odilon Kossounou,93127195,32.28,15.95,96.22,97.9,63.9,41.42,89.74,,{}
Maxence Lacroix,49038271,13.67,75.09,90.3,95.2,28.73,20.71,94.4,,{}
Mandela Keita,18116036,49.35,23.27,58.91,46.78,33.02,64.04,75.7,,{}
Lewis Ferguson,61078132,57.84,92.63,65.9,64.83,79.06,80.5,65.53,,{}
Lucas Assadi,2000060949,92.86,86.05,47.01,11.89,60.87,67.21,17.3,,{}
Nikita Petrov,2002102627,14.69,2.71,94.26,96.6,67.82,39.09,94.4,,{}
Chadi Riad,2000058232,17.35,69.96,97.99,99.11,50.14,6.81,83.96,,{}
Jakub Moder,96086697,40.11,38.15,60.07,45.38,79.76,68.8,55.55,,{}
Manuel Locatelli,43167354,30.36,12.27,13.39,39.41,96.32,46.27,83.96,,{}
Bilal El Khannouss,2000055184,70.71,18.98,10.21,7.51,24.16,85.17,36.99,,{}
Leandro Barreiro,91187556,92.3,32.84,89.51,83.26,89.69,85.63,65.53,deep playmaker,{"deep playmaker":86}
Sebastian Szymański,96088503,55.46,23.27,14.27,10.03,26.82,82.93,45.76,,{}
Evan N'Dicka,48032198,20.1,69.96,84.1,87.45,73.55,27.01,75.7,anchor,{"anchor":79}
Giovanni Reyna,72051281,69.31,86.05,31.48,13.99,72.95,52.61,17.3,,{}
Marco Kana,18107452,44.73,69.96,77.85,76.45,95.43,49.07,65.53,,{}
Carlos Salazar,2002073199,8.21,64.18,86.52,95.1,47.15,6.25,94.4,,{}
Ryan Gravenberch,37071197,61.01,69.96,60.26,8.26,32.6,66.51,13.15,,{}
Pascal Struijk,37059452,28.26,94.31,95.06,94.08,56.39,23.65,83.96,,{}
Ismaël Koné,2000121309,32.28,32.84,59.89,46.41,70.52,55.27,55.55,,{}
Kiliann Sildillia,49048381,91.23,64.18,94.82,19.36,94.36,78.78,55.55,,{}
Alessandro Granelli,2002075285,68.61,18.98,43.42,16.65,29.71,86.15,10.35,,{}
Xaver Schlager,16147660,48.27,0.47,25.61,40.63,62.03,51.21,65.53,,{}
Brennan Johnson,29189400,61.38,8.96,50.65,22.25,27.75,78.78,13.15,,{}
Serhiy Kryzhanivskyi,2002133373,34.98,23.27,55.5,71.74,90.21,61.33,83.96,anchor,{"anchor":82}
Angel Gomes,28109888,81.95,44.22,36.1,10.87,30.04,46.92,17.3,,{}
Pablo Maia,19375656,30.64,44.22,51.96,64.13,89.55,61.33,65.53,,{}
Amad Diallo,43425040,99.58,82.93,35.49,0.14,24.58,89.46,13.15,,{}
Dwight McNeil,28110488,99.44,28.17,57.79,5.88,82.37,52.61,6.25,,{}
Leonardo,2002119923,33.82,57.65,33.72,74.21,86.29,42.26,94.4,anchor,{"anchor":85}
Youssouf Fofana,49045776,73.79,50.7,32.23,41.32,96.78,59.75,83.96,,{}
Franco González,2000128319,73.79,28.17,28.22,10.49,19.17,56.53,10.35,,{}
Leo Sauer,2000192797,84.1,44.22,38.15,5.46,21.04,91.56,29.38,,{}
Filip Krastev,22073681,94.45,28.17,55.74,14.6,38.81,98.93,22.67,,{}
Ardon Jashari,84161856,62.92,12.27,55.32,52.99,89.55,49.72,55.55,,{}
Alberto Moleiro,2000028320,90.44,86.05,27.99,5.88,15.02,75.65,13.15,,{}
Luís Cláudio,2002119920,9.84,57.65,53.87,82.46,82.37,13.11,94.4,anchor,{"anchor":86}
Hákon Arnar Haraldsson,39060464,86.99,69.96,41.74,11.43,77.01,96.64,36.99,,{}
Andy Diouf,49062699,89.18,38.15,47.53,35.49,35.12,86.15,45.76,,{}
Leonardo Balerdi,14196664,12.55,82.93,69.31,91.28,58.26,15.02,94.4,,{}
Archie Gray,2000182795,76.68,15.95,37.5,18.14,44.03,94.96,17.3,,{}
Ibrahim Mohammed,2000034631,19.26,38.15,92.35,95.38,83.54,14.37,97.99,anchor,{"anchor":92}
Mateus Fernandes,83320124,96.6,23.27,35.12,34.38,25.89,85.63,45.76,,{}
Exequiel Palacios,14110846,98.27,7,78.82,74.86,71.64,69.68,55.55,,{}
Salis Abdul Samed,49060803,33.63,28.17,29.94,43.8,69.17,43.47,75.7,,{}
Rodrigo Riquelme,67259880,86.47,88.81,12.78,0.98,37.92,90.95,29.38,,{}
Jordan Teze,37058008,48.27,57.65,95.57,85.31,80.83,41.42,75.7,anchor,{"anchor":81}
Facundo Buonanotte,2000051578,98.74,64.18,32.65,1.54,21.32,69.68,29.38,,{}
Colin Penot,2002123982,51.73,64.18,99.3,92.77,95.57,46.27,75.7,anchor,{"anchor":88}
Douglas Luiz,19302456,80.69,50.7,21.78,19.64,86.29,74.77,65.53,,{}
Murillo,2000123482,29.38,32.84,97.25,97.99,79.76,22.99,83.96,anchor,{"anchor":87}
Mads Møller,2002072806,59.33,88.81,99.11,88.57,96.88,69.68,55.55,,{}
Eden Kartsev,42074464,71.83,92.63,45.66,48.65,84.38,81.39,55.55,,{}
Ethan Ampadu,29175064,34.56,75.09,69.08,81.58,69.17,44.03,75.7,,{}
Denner,2002098704,16.56,69.96,76.96,94.26,68.24,21.18,97.99,,{}
Quilindschy Hartman,37071180,52.99,90.81,98.93,94.59,98.74,50.47,89.74,anchor,{"anchor":94}
José Marsà,67279755,27.05,50.7,84.56,85.68,91.93,44.92,83.96,anchor,{"anchor":87}
Rico Lewis,2000098727,48.27,75.09,95.29,78.96,99.02,44.92,65.53,,{}
Marcos Antonio,19337942,58.26,38.15,23.97,49.49,84.47,73.6,75.7,,{}
Mateusz Łęgowski,96159935,67.3,28.17,49.95,50.05,65.72,67.21,55.55,,{}
Rodri,67281485,89.55,50.7,52.24,33.44,69.45,54.57,45.76,,{}
Maxence Caqueret,48044737,91.46,12.27,61.19,55.74,82.65,65.21,45.76,,{}
João Veloso,2000131486,67.91,44.22,72.9,44.45,48.88,67.86,22.67,,{}
Raphael Onyedika,27162493,72.43,23.27,68.19,63.01,89.97,97.29,65.53,,{}
Ferdi Kadıoğlu,37060600,59.33,18.98,97.06,69.26,93.24,93.38,45.76,,{}
Chris Richards,72051563,25.84,32.84,80.6,76.91,25.19,29.48,55.55,,{}
Kevin Danso,91144914,15.07,50.7,91.46,94.87,56.81,5.32,83.96,,{}
Ladislav Krejčí,25055083,18.42,23.27,50.65,83.63,62.87,9.84,97.99,,{}
Mattias Svanberg,93065023,66.7,50.7,51.68,25.47,13.71,51.21,29.38,,{}
Danilho Doekhi,37051440,15.63,82.93,82.32,94.17,68.66,18.33,94.4,,{}
Ismaël Bennacer,48032338,53.45,5.27,50.28,45.71,26.4,28.92,65.53,,{}
Konstantinos Mavropanos,36116501,17.07,57.65,66.74,78.4,64.46,7.56,65.53,,{}
Aimar,67276375,94.45,57.65,78.54,41.18,85.4,68.8,17.3,,{}
André Almeida,83152928,65.95,5.27,41.74,41.56,86.66,41.42,75.7,,{}
Yunus Akgün,70110533,76.68,64.18,44.92,4.99,33.63,73.04,10.35,,{}
Cole Palmer,28120042,95.15,90.81,30.13,4.06,22.39,99.02,17.3,,{}
Dinis Telehovschi,2000288721,87.97,69.96,62.36,38.95,96.32,67.21,65.53,,{}
Lars Lukas Mai,91172528,8.58,5.27,89.93,96.88,20.71,7.28,75.7,,{}
Ethan Butera,2000127875,13.01,64.18,64.09,82.88,60.77,6.81,94.4,,{}
Daniel Ballard,28110835,14.97,97.95,92.49,97.15,75.23,29.48,97.99,anchor,{"anchor":90}
Manu Koné,49047182,41,50.7,61.94,48.93,46.36,74.77,45.76,,{}
Jan Paul van Hecke,37076335,16,90.81,82.79,89.97,67.58,9,83.96,,{}
Gustaf Lagerbielke,93084711,13.99,32.84,89.09,96.22,35.35,8.3,75.7,,{}
Ladislav Mácha,2002103109,26.77,82.93,94.45,86.43,98.32,53.31,75.7,anchor,{"anchor":87}
Vincent Tumber,2000280836,13.43,75.09,93.42,96.78,86.89,13.11,97.99,anchor,{"anchor":94}
Alfred,2002073341,57.84,79.29,94.54,73.79,95.99,55.97,55.55,,{}
João Gomes,19371031,64.88,50.7,65.53,72.9,82.98,77.1,65.53,deep playmaker,{"deep playmaker":78}
Douglas,2002119880,54.43,32.84,28.22,25.14,97.29,83.77,55.55,,{}
Biel,2000086485,79.85,79.29,17.86,6.48,26.4,92.68,36.99,,{}
Joe Willock,28106684,85.63,50.7,25,22.81,21.04,72.62,45.76,,{}
Lazar Samardžić,91182849,55.46,8.96,14.65,1.45,48.69,87.5,29.38,,{}
Matt O'Riley,29186052,43.14,57.65,46.32,27.38,48.13,75.65,55.55,,{}
Lamine Camara,12093439,93.19,2.71,73.74,62.83,76.4,62.73,45.76,,{}
Maxime Lopez,85140254,77.15,75.09,26.63,17.82,99.86,99.77,65.53,,{}
Kristjan Asllani,43424567,73.23,28.17,66.56,64.51,79.38,52.61,45.76,,{}
Ederson,19326796,40.35,32.84,26.4,34.19,50.79,71.32,75.7,,{}
Marcelino Núñez,75045691,94.17,2.71,21.5,7.04,50.56,71.32,29.38,,{}
Gabriel Sara,19290889,81.62,44.22,53.26,39.32,37.5,22.01,36.99,,{}
Lennard Maloney,92092364,70.71,64.18,80.13,38.62,88.85,99.95,55.55,,{}
Désiré Doué,2000115202,81.02,69.96,67.72,34.93,27.33,83.77,29.38,,{}
Svit Sešlar,62235081,43.42,18.98,45.66,30.27,11.47,28.22,17.3,,{}
Francho,67278162,55.92,18.98,61.94,61.71,23.41,34.42,29.38,,{}
Jahkeele Marshall-Rutty,72056311,86.19,75.09,63.01,27.29,39.97,52.61,13.15,,{}
André Amaro,2000006906,5.41,88.81,70.94,93.7,75.84,8.3,97.99,anchor,{"anchor":89}
Jorge Díaz,2000292912,25.56,82.93,98.18,98.74,93.42,33.77,94.4,anchor,{"anchor":96}
Matteo Pessina,43155796,63.29,23.27,24.81,34.28,31.76,60.45,55.55,,{}
Martin Vitík,2000014205,14.69,38.15,83.72,94.73,30.04,10.73,83.96,,{}
Fermín,2000141742,64.32,15.95,17.63,20.06,18.28,89.93,22.67,,{}
Daniel Bragança,83111519,77.15,23.27,26.17,29.62,70.8,54.57,65.53,,{}
Rhuan Gabriel,2000243132,84.75,32.84,65.9,63.48,62.73,60.45,36.99,,{}
Sergio Arribas,67277465,58.49,50.7,54.71,2.57,51.07,87.97,6.9,,{}
Johnny,89066513,50.65,8.96,27.24,29.34,22.01,94.78,65.53,,{}
Amir Richardson,2000108547,52.99,32.84,57.79,23.83,33.63,91.56,29.38,,{}
Geny,95059117,62.22,23.27,25.79,4.24,22.39,53.96,17.3,,{}
Yukinari Sugawara,45111317,77.52,97.34,96.97,65.58,70.52,50.47,29.38,destroyer,{"destroyer":91}
Enzo Le Fée,49040114,93.8,32.84,51.68,11.33,88.06,72.29,17.3,,{}
João Marques,2000059474,86.99,69.96,66.56,25.33,15.39,82.04,17.3,,{}
Mads Bech Sørensen,27114700,23.69,23.27,77.15,70.9,64.46,10.73,94.4,,{}
Erwin Vogado,2002074739,96.83,82.93,18.61,4.52,74.58,88.34,22.67,,{}
Jhon Lucumí,76042952,31.86,44.22,20.94,71.88,83.72,13.85,99.72,anchor,{"anchor":85}
Patryk Peda,96122121,10.12,44.22,90.63,74.86,44.54,19.03,8.63,,{}
Michał Karbownik,96122114,88.62,69.96,75.7,7.23,66.74,93,17.3,,{}
Alex Juárez,2000175688,99.02,94.31,21.18,3.59,58.02,86.66,45.76,,{}
Yari Verschaeren,18105040,94.17,69.96,37.87,5.36,63.53,44.92,7.56,,{}
Owen Otasowie,29188478,16,86.05,46.55,84.56,22.39,39.09,29.38,,{}
Santiago Hezze,14226789,84.1,18.98,90.3,82.46,71.64,31.11,65.53,,{}
Cristian Bermúdez,2002074905,47.67,23.27,19.54,20.66,21.04,84.61,22.67,,{}
Martin Baturina,24065108,83.58,64.18,36.71,8.07,50.14,82.46,22.67,,{}
Giuseppe Orlandi,2002075154,95.76,90.81,50.09,44.82,45.71,99.16,45.76,,{}
Tuta,19290884,17.07,44.22,79.1,94.45,81.44,26.59,94.4,anchor,{"anchor":90}
Fabio Miretti,43500510,51.12,18.98,44.17,32.88,73.23,94.26,55.55,,{}
Iván Jaime,67262227,85.63,94.31,47.39,27.66,37.22,47.67,10.35,,{}
Adrian Haas,2000144104,51.12,1.35,21.32,15.44,10.59,51.91,45.76,,{}
Edder Abaroa,2002074820,55.46,44.22,40.72,41.84,40.58,66.51,55.55,,{}
Jaka Bijol,62215974,25.56,57.65,90.3,88.29,64.46,11.33,45.76,,{}
Alexsandro Ribeiro,83282675,4.66,64.18,72.76,92.12,81.67,14.37,97.99,anchor,{"anchor":91}
Quentin Merlin,49048372,44.36,38.15,96.04,66.32,97.71,58.26,45.76,,{}
Abdul Fatawu,13211267,81.44,44.22,16.18,1.91,16.14,74.77,10.35,,{}
Yasin Ayari,93142470,79.52,69.96,37.17,45.2,29.71,51.21,36.99,,{}
Eray Bulut,2002075142,22.29,82.93,69.68,88.85,59.89,21.18,97.99,,{}
Pablo Torre,2000040347,59.33,64.18,9.61,2.66,43.28,68.8,13.15,,{}
Gabriel Pirani,19409770,63.9,86.05,30.97,1.35,36.33,96.41,22.67,,{}
Stanis Idumbo Muzambo,2000016527,39.55,64.18,11.33,9,23.79,53.96,55.55,,{}
Tadeo Machado,2002074568,71.27,15.95,92.35,83.35,68.05,80.5,55.55,,{}
Olivier Boscagli,48031641,41,57.65,84.28,80.13,55.55,13.85,65.53,,{}
Conor Gallagher,28108036,95.48,57.65,80.36,54.71,58.82,71.32,45.76,,{}
Monchu,67246433,32.93,69.96,36.85,22.57,69.45,35.07,65.53,,{}
Cesare Casadei,43500064,74.95,86.05,52.66,37.73,23.79,44.92,55.55,,{}
Tobias Gulliksen,53167331,96.97,69.96,52.8,4.8,46.78,96.04,8.63,,{}
Håkon Evjen,53145323,97.34,18.98,59.24,27.47,27.05,64.74,13.15,,{}
Nicolò Fagioli,43372948,81.02,64.18,42.35,31.02,14.79,67.86,17.3,,{}
Tommy Doyle,28120038,85.12,32.84,25.19,13.11,41.09,92.68,45.76,,{}
David,2002098516,51.73,44.22,36.52,35.77,56.39,47.67,75.7,,{}
Eman Kospo,2000260079,19.82,75.09,56.81,86.75,57.23,22.99,97.99,,{}
Josseph Rovira,2002074227,19.82,38.15,86.71,85.4,22.39,8.3,36.99,,{}
Harvey Elliott,29233143,90.44,75.09,18.24,4.71,63.9,84.61,36.99,,{}
Cristian Volpato,2000034865,96.32,79.29,58.63,6.39,24.58,94.96,8.63,,{}
Marco Sagredo,2002119784,69.31,2.71,60.96,80.64,31.2,37.08,36.99,,{}
Jonathan Dias,2002120027,26.77,82.93,90.07,90.63,77.19,22.99,75.7,anchor,{"anchor":81}
Samed Baždar,2000027057,43.14,15.95,14.65,16.93,8.72,42.72,22.67,,{}
Carlos Cuesta,76047487,7.14,75.09,92.91,99.86,17.49,15.02,45.76,,{}
Hugo Larsson,2000019708,46.27,18.98,94.03,50.7,72.2,86.15,36.99,,{}
Zakaria Leffin,2002072824,87.36,23.27,48.97,31.3,23.09,88.62,29.38,,{}
Tomáš Suslov,37076659,56.81,23.27,14.97,18.33,33.21,40.72,65.53,,{}
Elias Saad,2000106505,76.31,79.29,37.17,15.35,6.86,27.57,5.46,,{}
Yvandro Borges Sanches,2000124674,97.15,57.65,34.14,0.33,41.09,91.79,7.56,,{}
Lewis Cook,29127852,41.65,15.95,48.37,74.49,49.58,24.21,83.96,,{}
Lee Hyun-Ju,2000161791,77.52,12.27,24.35,7.74,36.71,95.15,36.99,,{}
Hugo Guillamón,67258817,61.75,12.27,81.53,79.9,89.41,75.28,83.96,deep playmaker;anchor,{"deep playmaker":82;"anchor":84}
Rareş Ilie,2000045306,98.83,69.96,76.35,29.15,86.47,64.04,17.3,,{}
Santiago Rodríguez,2002146627,22.81,28.17,80.13,82.79,68.8,20.71,83.96,,{}
Hjalmar Ekdal,93070264,29.71,44.22,53.87,87.92,32.6,5.83,89.74,,{}
Enzo Loiodice,49045906,38.01,64.18,32.42,42.96,29.1,33.77,45.76,,{}
Nikolas Sattlberger,16337140,53.45,57.65,69.54,70.71,53.78,83.77,65.53,,{}
Roan Wilson,80034709,42.4,28.17,71.32,60.63,30.04,48.41,45.76,,{}
Aziz Ouattara,12090188,24.86,69.96,75.14,90.07,21.6,29.48,29.38,,{}
Moritz Oswald,16254134,76.31,38.15,68.42,55.64,40.81,64.74,36.99,,{}
Joe Bell,53184886,90.86,38.15,49.3,64.83,43.28,32.04,75.7,,{}
Ísak Jóhannesson,39057654,11.8,50.7,14.88,70.01,9.79,28.22,13.15,,{}
