name,uid,chancesCreated,openCrossesRatio,openSucessfullCrosses90,dribbles,conv,npXG,keyPasses,xA,badges,ratingScores
Bukayo Saka,28122642,87.77,55.28,71.04,64.16,75.35,61.45,82.18,87.26,wide playmaker,{"wide playmaker":86}
Vinícius Júnior,19302146,96.46,89,97.62,97.75,96.07,64.86,97.1,92.47,winger;wide playmaker,{"winger":95;"wide playmaker":95}
Jamal Musiala,28124579,98.07,94.02,83.2,86.74,75.35,61.45,96.14,90.09,winger;wide playmaker,{"winger":91;"wide playmaker":95}
Kylian Mbappé,85139014,98.65,89,90.86,86.1,89.45,80.63,95.88,99.49,winger;inside;wide playmaker,{"winger":91;"inside":89;"wide playmaker":98}
Nuno Mendes,83261910,57.92,97.1,61.97,62.16,3.93,14.22,63.32,50.51,,{}
Pedri,67293495,89.7,80.82,52.64,45.69,29.21,56.5,90.15,87.26,wide playmaker,{"wide playmaker":89}
Assan Ouédraogo,2000188173,83.78,96.2,53.8,55.6,64.61,92.92,82.75,71.36,wide playmaker,{"wide playmaker":79}
Gabriel Martinelli,19351309,89.7,55.28,87.45,58.82,55.15,77.09,84.11,87.26,wide playmaker,{"wide playmaker":87}
Vitor Roque,2000095783,32.82,31.27,48.07,53.99,97.36,87.97,25.35,37.9,,{}
Lamine Yamal,2000256231,81.72,48.78,82.18,85.59,40.03,87.97,97.55,94.98,wide playmaker,{"wide playmaker":91}
Cliff Ingotsi,2002073504,73.81,61.33,81.27,92.6,25.55,56.5,89.9,79.34,wide playmaker,{"wide playmaker":81}
Phil Foden,28108494,71.04,61.33,29.86,36.81,60.23,56.5,39.64,64.09,,{}
Rodrygo,19306929,89.7,66.6,77.99,81.79,78.83,42.34,81.4,95.69,wide playmaker,{"wide playmaker":89}
Kendry Páez,2000252303,99.36,94.02,93.05,95.3,68.66,92.92,98.58,99.1,winger;wide playmaker,{"winger":95;"wide playmaker":99}
Mohamed-Ali Cho,2000006280,60.49,55.28,55.21,63.38,94.53,96.33,48.39,59.65,,{}
Alejandro Garnacho,2000035036,98.07,72.14,89.06,90.6,60.23,56.5,92.6,97.23,winger;wide playmaker,{"winger":87;"wide playmaker":96}
Mykhaylo Mudryk,71101331,83.78,66.6,88.48,90.93,78.83,56.5,79.15,92.47,wide playmaker,{"wide playmaker":85}
Julio Enciso,79034187,72.72,77.48,81.27,74.84,75.35,49.61,63.84,71.36,winger,{"winger":77}
Eliesse Ben Seghir,2000104892,91.18,48.78,58.04,66.09,78.83,73.55,90.41,84.49,wide playmaker,{"wide playmaker":89}
Nico Williams,67276230,69.76,25.48,73.62,51.48,87.58,28.76,69.56,71.36,,{}
Florian Wirtz,91193048,71.04,55.28,49.81,35.84,25.55,53.02,89.9,76.83,wide playmaker,{"wide playmaker":79}
Julien Duranville,2000155483,47.94,21.3,84.88,86.29,21.49,20.59,86.74,84.49,,{}
Rodrigo Ribeiro,2000104450,94.66,77.48,75.1,91.25,87.58,82.24,89.38,87.26,winger;inside;wide playmaker,{"winger":85;"inside":89;"wide playmaker":90}
Gonçalo Moreira,2000199219,95.24,48.78,92.79,93.69,92.73,56.5,95.88,94.98,wide playmaker,{"wide playmaker":95}
Xavi Simons,67288555,72.72,96.59,34.17,55.98,82.24,35.14,70.33,55.02,,{}
Ege Çağlar,2002072846,82.56,66.6,69.88,68.66,64.61,87.97,75.03,71.36,wide playmaker,{"wide playmaker":76}
Christopher Nkunku,85140301,98.46,61.33,29.86,16.92,96.85,59.14,58.11,91.25,,{}
Karim Adeyemi,16279486,62.23,25.48,86.87,94.59,68.66,77.09,86.74,64.09,,{}
Miloš Kerkez,2000011147,93.76,55.28,97.36,97.04,40.03,9.59,84.36,79.34,wide playmaker,{"wide playmaker":86}
Jacob Ramsey,29193659,55.86,25.48,35.71,63.38,21.49,42.34,75.68,50.51,,{}
Alexander Isak,93070286,31.53,55.28,17.25,31.21,98.91,99.74,17.44,28.06,,{}
Alphonso Davies,20041862,18.53,55.28,24.71,90.28,60.23,17.5,42.99,37.9,,{}
Antonio Nusa,2000090211,98.46,86.16,99.68,93.05,44.79,61.45,98.13,99.94,winger;wide playmaker,{"winger":94;"wide playmaker":99}
Elye Wahi,49061868,43.05,72.14,24.71,27.86,78.83,90.67,32.37,42.41,,{}
Elliot Anderson,28127254,72.72,42.15,27.99,64.86,40.03,49.61,58.11,64.09,,{}
Marcus Rashford,28100266,72.72,97.1,48.07,41.76,49.68,64.86,79.86,74.39,wide playmaker,{"wide playmaker":76}
Noah Darvich,2000257651,94.14,80.82,88.48,97.36,64.61,56.5,87.97,95.69,winger;wide playmaker,{"winger":90;"wide playmaker":93}
Mason Mount,28103590,89.7,72.14,23.1,25.16,49.68,53.02,53.15,76.83,,{}
Victor Osimhen,13158205,11.52,97.1,15.38,10.1,94.53,86.36,16.67,9.46,,{}
Ferran Torres,89056845,95.88,72.14,93.56,89.45,68.66,75.16,94.92,94.98,winger;wide playmaker,{"winger":88;"wide playmaker":95}
Oscar Gloukh,2000065061,86.87,83.46,43.63,41.76,85.07,42.34,89.38,76.83,wide playmaker,{"wide playmaker":84}
Wilfried Gnonto,43500350,97.04,48.78,76.38,79.47,75.35,86.36,85.52,81.72,inside;wide playmaker,{"inside":85;"wide playmaker":88}
João Rêgo,2000131484,83.78,89,37,67.89,85.07,90.67,47.43,91.25,,{}
Heorhii Sudakov,71108249,51.48,86.16,26.19,29.73,34.11,59.14,69.05,37.9,,{}
Ernest Nuamah,2000156783,90.48,48.78,93.82,98.78,60.23,71.69,87.58,87.26,wide playmaker,{"wide playmaker":88}
Hugo Uriarte,2002073135,49.1,86.16,34.17,25.16,94.53,96.98,48.39,42.41,,{}
Rayan Cherki,49056279,97.81,80.82,96.72,66.8,40.03,31.66,93.37,97.88,wide playmaker,{"wide playmaker":96}
Theo Hernández,67211695,54.05,31.27,74.52,55.15,55.15,14.22,48.39,33.14,,{}
Alexis Mac Allister,14157184,46.59,77.48,3.99,19.82,49.68,75.16,24.45,50.51,,{}
Dani Olmo,24048100,91.7,61.33,49.81,11,78.83,31.66,94.59,89.06,wide playmaker,{"wide playmaker":92}
Randal Kolo Muani,48043873,26.38,86.16,3.99,9.91,94.53,97.94,26.32,22.72,,{}
Brahim Díaz,28106999,65.38,92.99,48.07,11.52,60.23,59.14,37.64,64.09,,{}
Ez Abde,2000054872,80.12,31.27,76.38,91.25,29.21,56.5,78.38,81.72,wide playmaker,{"wide playmaker":80}
Julien Charles,2002075268,97.04,36.87,96.59,96.14,14.74,56.5,99.03,93.31,wide playmaker,{"wide playmaker":96}
Facundo Martínez,2000299769,92.99,72.14,96.98,93.05,64.61,69.56,91.38,97.88,winger;wide playmaker,{"winger":89;"wide playmaker":94}
Thiago Almada,14172522,66.47,77.48,18.79,30.05,44.79,64.86,36.94,64.09,,{}
João Pedro,19371552,51.48,31.27,34.17,46.27,40.03,67.63,49.36,42.41,,{}
Kang-In Lee,67260506,92.99,89,97.88,82.3,49.68,61.45,93.95,97.23,winger;wide playmaker,{"winger":91;"wide playmaker":95}
Nicola Zalewski,43426126,80.12,42.15,79.21,80.37,14.74,53.02,79.15,67.95,,{}
Facundo Torres,78088646,47.94,42.15,13.32,16.8,60.23,35.14,34.11,37.9,,{}
Luis Díaz,76049803,40.09,80.82,23.1,21.49,11.52,42.34,15.19,37.9,,{}
Giacomo Raspadori,43316850,92.21,66.6,27.99,67.31,68.66,42.34,44.14,79.34,,{}
Jesús Vázquez,95078288,50.26,72.14,51.67,50.71,29.21,9.59,58.11,42.41,,{}
Federico Silva,2002074618,97.04,61.33,95.95,99.55,85.07,64.86,92.02,97.23,wide playmaker,{"wide playmaker":95}
Joshua Zirkzee,37060922,74.39,9.65,13.32,25.16,75.35,94.85,65.06,55.02,,{}
Curtis Jones,28115788,71.04,72.14,56.76,71.04,94.53,46.2,56.37,67.95,,{}
Simone Repossi,2002073451,64.48,42.15,90.15,61.65,9.46,17.5,75.03,59.65,,{}
Ander Barrenetxea,67276482,83.78,66.6,68.02,46.27,92.73,73.55,72.01,81.72,wide playmaker,{"wide playmaker":79}
Samuel Iling,2000034525,82.56,61.33,76.38,78.83,55.15,83.59,92.99,71.36,wide playmaker,{"wide playmaker":82}
Yaser Asprilla,2000053239,63.38,83.46,49.81,32.88,14.74,49.61,74.39,59.65,,{}
Samuel Chukwueze,67269484,78.38,21.3,71.04,94.14,49.68,38.55,72.01,59.65,,{}
Emile Smith Rowe,28109599,79.28,83.46,61.97,46.91,21.49,14.22,72.84,76.83,wide playmaker,{"wide playmaker":76}
Williot Swedberg,2000008568,50.26,61.33,49.81,26.25,85.07,92.92,28.7,46.53,,{}
Óscar Cortés,2000069652,68.66,36.87,94.34,81.79,75.35,35.14,76.38,50.51,,{}
Jakob Napoleon Romsaas,2000072641,86.87,36.87,69.88,67.89,29.21,73.55,86.23,79.34,wide playmaker,{"wide playmaker":84}
Luís Henrique,19403484,65.38,61.33,63.19,80.37,64.61,78.96,85.01,55.02,,{}
Sofiane Diop,49037827,64.48,77.48,68.02,63,49.68,31.66,53.99,67.95,,{}
Marcus Thuram,48037335,79.28,42.15,56.76,49.03,3.93,23.29,67.05,67.95,,{}
Moussa Diaby,48044574,87.77,72.14,79.21,86.74,44.79,17.5,53.15,89.06,winger,{"winger":81}
Lucas Paquetá,19226741,31.53,31.27,3.99,7.21,60.23,4.38,45.95,13.64,,{}
Giannis Konstantelias,36159280,89,72.14,61.07,67.57,60.23,71.69,92.02,79.34,wide playmaker,{"wide playmaker":87}
Destiny Udogie,43426047,22.01,31.27,26.19,50.19,94.53,17.5,16.67,3.73,,{}
Viktor Gyökeres,93070271,77.09,72.14,31.98,29.54,78.83,64.86,58.11,55.02,,{}
Marc Cucurella,67215284,40.09,66.6,23.1,13.51,29.21,6.18,54.83,50.51,,{}
Jakub Kamiński,96121228,68.66,91.38,84.88,70.33,34.11,20.59,65.06,79.34,,{}
Patrick Wimmer,16253898,89.7,89,99.16,45.43,34.11,23.29,97.23,95.69,wide playmaker,{"wide playmaker":94}
Andreas Schjelderup,2000020287,71.04,80.82,31.98,49.03,82.24,95.69,41.25,81.72,,{}
Tijjani Reijnders,37071126,20.53,77.48,13.32,8.3,21.49,6.18,61,28.06,,{}
Jonathan David,18108540,25.03,48.78,27.99,51.93,72.46,86.36,14.03,13.64,,{}
Lucas Assadi,2000060949,28.83,21.3,27.99,83.08,8.37,31.66,59.85,37.9,,{}
Takis Vounasis,2000122057,55.86,25.48,17.25,33.78,78.83,96.33,47.43,59.65,,{}
Hernán Tejada,2000149391,68.66,55.28,40.99,55.98,89.45,89.19,31.85,59.65,,{}
Bilal El Khannouss,2000055184,77.09,80.82,42.34,41.31,78.83,64.86,79.86,64.09,,{}
Tiago Gouveia,83228377,80.12,25.48,77.99,87.58,60.23,77.09,86.74,81.72,wide playmaker,{"wide playmaker":83}
Sebastian Szymański,96088503,66.47,42.15,27.99,27.03,49.68,26,77.22,67.95,,{}
Giovanni Reyna,72051281,44.79,83.46,55.21,53.67,75.35,42.34,42.02,50.51,,{}
Mohamed Daramy,27148020,78.38,61.33,82.88,91.44,64.61,71.69,81.4,87.26,wide playmaker,{"wide playmaker":82}
Ryan Gravenberch,37071197,46.59,31.27,52.64,67.57,68.66,53.02,59.2,42.41,,{}
Talles Magno,19362860,71.04,36.87,63.19,61.33,44.79,61.45,80.89,67.95,,{}
Youssoufa Moukoko,2000074825,11.52,72.14,23.1,17.05,91.06,75.16,10.62,9.46,,{}
Datro Fofana,12092528,28.83,17.57,13.32,43.24,82.24,86.36,38.42,28.06,,{}
Gonçalo Borges,83228804,94.14,77.48,98.46,79.92,55.15,95.3,95.17,98.78,winger;wide playmaker,{"winger":88;"wide playmaker":96}
Pedro Neto,29179717,72.72,61.33,78.83,90.6,17.89,42.34,89.9,87.26,wide playmaker,{"wide playmaker":83}
Brennan Johnson,29189400,56.82,31.27,35.71,69.76,29.21,35.14,71.24,59.65,,{}
Luiz Henrique,19377206,67.7,31.27,63.19,73.29,3.93,14.22,57.34,55.02,,{}
Manor Solomon,42077304,58.94,36.87,38.93,37.9,34.11,31.66,51.35,59.65,,{}
Angel Gomes,28109888,60.49,91.38,38.93,49.68,25.55,42.34,36.16,76.83,,{}
Ansgar Knauff,91203087,89,25.48,89.06,92.79,75.35,46.2,87.58,92.47,wide playmaker,{"wide playmaker":90}
Danny Namaso,29165730,72.72,31.27,38.93,39.45,68.66,69.56,63.32,46.53,,{}
Amad Diallo,43425040,79.28,31.27,78.51,98.39,44.79,28.76,84.68,87.26,wide playmaker,{"wide playmaker":84}
Jorge Sevillano,2002122831,58.94,80.82,77.28,69.18,91.06,90.67,79.86,76.83,,{}
Wassim,2002124575,17.57,31.27,20.33,28.25,3.93,2.57,15.19,9.46,,{}
Lucas Beltrán,14217414,77.09,86.16,73.1,51.93,91.06,69.56,71.24,81.72,wide playmaker,{"wide playmaker":77}
Dwight McNeil,28110488,52.96,10.81,3.99,38.87,55.15,31.66,42.02,67.95,,{}
Leo Sauer,2000192797,79.28,21.3,76.38,81.08,44.79,84.81,87.32,67.95,,{}
Marin Petkov,22086329,99.81,61.33,94.34,83.59,89.45,80.63,99.94,97.88,inside;wide playmaker,{"inside":88;"wide playmaker":99}
Alberto Moleiro,2000028320,66.47,48.78,52.64,51.93,25.55,46.2,68.47,55.02,,{}
Hákon Arnar Haraldsson,39060464,86.87,72.14,61.07,25.48,55.15,53.02,93.37,96.14,wide playmaker,{"wide playmaker":92}
Rodrigo Riquelme,67259880,92.21,80.82,73.1,75.93,55.15,42.34,86.74,84.49,winger;wide playmaker,{"winger":81;"wide playmaker":88}
Facundo Buonanotte,2000051578,74.39,61.33,58.04,67.12,44.79,11.52,61.9,76.83,,{}
Omar Campos,2000030216,43.05,36.87,67.18,35.84,3.93,6.18,50.77,33.14,,{}
Rodri,67281485,40.09,42.15,26.19,35.14,29.21,20.59,45.17,42.41,,{}
Ferdi Kadıoğlu,37060600,95.88,36.87,84.88,55.15,14.74,7.98,89.38,89.06,wide playmaker,{"wide playmaker":91}
Endrick,2000220941,51.48,42.15,24.71,46.91,92.73,94.85,47.43,46.53,,{}
Jizz Hogervorst,2002133981,63.38,72.14,74.07,78.51,60.23,46.2,79.86,67.95,,{}
Aimar,67276375,36.87,42.15,23.1,28.7,78.83,28.76,61,37.9,,{}
Prince Aning,2000013543,44.79,66.6,79.86,42.86,14.74,6.18,70.33,46.53,,{}
André Almeida,83152928,36.87,80.82,34.17,8.17,29.21,11.52,29.47,28.06,,{}
Aimar Vicandi,2000119309,85.97,48.78,95.69,92.34,34.11,59.14,96.59,94.98,wide playmaker,{"wide playmaker":93}
Anderson Duarte,78102085,54.89,55.28,85.46,56.44,25.55,49.61,86.74,74.39,,{}
Mathys Tel,2000104850,91.7,77.48,65.32,89.9,75.35,80.63,75.03,81.72,inside;wide playmaker,{"inside":84;"wide playmaker":83}
Alberto García,2002073182,78.38,72.14,94.34,93.95,17.89,53.02,75.03,84.49,winger;wide playmaker,{"winger":85;"wide playmaker":79}
Christian Wieser,2000063623,43.05,14.22,49.81,77.93,68.66,56.5,67.7,67.95,,{}
Yunus Akgün,70110533,65.38,77.48,73.62,58.43,29.21,28.76,65.83,79.34,,{}
Nicolò Tresoldi,2000184216,52.96,66.6,46.72,62.16,85.07,93.69,57.34,42.41,,{}
Cole Palmer,28120042,92.21,77.48,75.61,62.16,55.15,90.67,98.26,94.14,wide playmaker,{"wide playmaker":95}
Henry Mosquera,2000155489,89.7,48.78,87.77,85.59,55.15,59.14,94.92,91.25,wide playmaker,{"wide playmaker":92}
Bradley Barcola,49056282,22.01,36.87,27.99,27.86,87.58,99.1,44.14,18.15,,{}
Sávio,2000011972,97.04,55.28,80.5,51.93,29.21,14.22,53.99,87.26,,{}
Álvaro Rodríguez,2000218258,15.32,48.78,13.32,10.42,78.83,64.86,17.44,9.46,,{}
Noah Jean Holm,91176250,35.39,55.28,23.1,44.14,82.24,82.24,50.06,33.14,,{}
Taty Castellanos,75042244,18.53,8.43,10.23,22.97,64.61,49.61,16.99,18.15,,{}
Emanuel Mema,2000163423,71.04,80.82,59.91,68.53,29.21,61.45,54.83,64.09,,{}
Gabriel Veron,19360962,52.96,83.46,80.5,91.83,78.83,75.16,59.85,59.65,,{}
Ben Doak,2000164850,99.36,66.6,98.01,97.88,78.83,64.86,92.41,99.1,wide playmaker,{"wide playmaker":97}
Biel,2000086485,88.35,83.46,81.27,74.32,55.15,90.67,88.67,87.26,winger;wide playmaker,{"winger":82;"wide playmaker":88}
Joe Willock,28106684,71.04,86.16,27.99,9.91,34.11,38.55,65.06,55.02,,{}
Lazar Samardžić,91182849,95.24,86.16,73.62,38.87,55.15,77.09,82.18,91.25,wide playmaker,{"wide playmaker":90}
Eduardo Torres,2002074647,26.38,48.78,77.28,49.68,3.93,2.57,46.53,28.06,,{}
Jahkeele Marshall-Rutty,72056311,35.39,31.27,35.71,44.59,75.35,28.76,42.02,33.14,,{}
Fermín,2000141742,74.84,83.46,45.37,60.55,49.68,31.66,85.01,84.49,wide playmaker,{"wide playmaker":81}
Juan Miranda,67258411,16.67,25.48,37,9.65,97.94,4.38,23.55,9.46,,{}
Antony,19364488,26.38,9.65,45.37,79.67,14.74,23.29,17.44,13.64,,{}
Stiven Shpendi,43616542,46.59,48.78,56.76,27.41,82.24,78.96,50.06,42.41,,{}
Juanlu,2000027530,77.09,31.27,83.78,56.82,21.49,46.2,65.83,74.39,,{}
Eddie Nketiah,28106687,5.86,6.5,9.27,23.87,97.94,75.16,6.05,3.73,,{}
Sergio Arribas,67277465,75.87,17.57,87.45,44.98,14.74,28.76,82.75,87.26,wide playmaker,{"wide playmaker":82}
Geny,95059117,60.49,61.33,65.32,84.81,44.79,56.5,44.14,46.53,,{}
Kaio Jorge,19348862,20.53,86.16,38.93,13.9,99.29,83.59,15.19,18.15,,{}
Enzo Le Fée,49040114,66.47,25.48,43.63,19.11,68.66,11.52,64.41,55.02,,{}
Maxim De Cuyper,18110473,20.53,61.33,42.34,10.81,3.93,2.57,27.99,59.65,,{}
Matija Frigan,2000078339,17.57,21.3,21.69,13.13,89.45,80.63,37.64,13.64,,{}
João Marques,2000059474,72.72,77.48,88.1,64.86,40.03,53.02,75.68,64.09,,{}
Million Manhoef,37076007,75.87,77.48,83.2,72.65,21.49,14.22,78.38,71.36,winger;wide playmaker,{"winger":77;"wide playmaker":75}
Matías Abaldo,2000111471,84.36,48.78,26.19,31.21,55.15,84.81,60.42,93.31,,{}
Tomáš Čvančara,25057908,27.61,91.38,3.99,22.46,85.07,61.45,16.02,28.06,,{}
Erwin Vogado,2002074739,77.09,48.78,65.32,63.84,25.55,71.69,83.2,74.39,wide playmaker,{"wide playmaker":78}
Yari Verschaeren,18105040,44.79,25.48,31.98,51.03,78.83,17.5,34.11,50.51,,{}
Martin Baturina,24065108,82.56,42.15,45.37,50.19,14.74,38.55,76.38,79.34,wide playmaker,{"wide playmaker":79}
Hugo Duro,67274349,57.92,55.28,38.93,22.07,68.66,84.81,59.85,71.36,,{}
Luca Koleosho,2000061312,75.87,61.33,85.97,73.62,34.11,38.55,84.36,87.26,wide playmaker,{"wide playmaker":82}
Iván Jaime,67262227,10.94,12.29,31.98,30.31,68.66,11.52,36.94,3.73,,{}
Edder Abaroa,2002074820,57.92,17.57,24.71,18.73,55.15,35.14,59.2,46.53,,{}
Carlos Borges,2000009057,89,42.15,90.15,83.59,64.61,53.02,72.01,90.09,wide playmaker,{"wide playmaker":84}
Quentin Merlin,49048372,79.28,80.82,63.19,25.74,85.07,11.52,49.36,87.26,,{}
Abdul Fatawu,13211267,85.97,42.15,72.2,81.08,44.79,71.69,67.7,84.49,,{}
Yasin Ayari,93142470,23.62,86.16,55.21,33.14,21.49,17.5,40.41,22.72,,{}
Zeki Amdouni,84154064,31.53,99.55,31.98,9.14,98.46,49.61,11.26,18.15,,{}
Pablo Torre,2000040347,60.49,48.78,11.52,33.78,29.21,64.86,61,71.36,,{}
Gabriel Pirani,19409770,60.49,48.78,81.27,76.32,75.35,73.55,92.99,67.95,,{}
Tyrell Malacia,37058363,18.53,42.15,35.71,16.67,3.93,0.45,29.47,6.5,,{}
Stanis Idumbo Muzambo,2000016527,36.87,36.87,49.81,91.83,49.68,64.86,44.14,46.53,,{}
Garang Kuol,2000080496,30.24,31.27,31.98,60.55,78.83,73.55,26.32,22.72,,{}
Predrag Kljajic,2000269855,44.79,89,53.8,88.35,29.21,28.76,48.39,46.53,,{}
Conor Gallagher,28108036,46.59,48.78,48.07,31.21,25.55,35.14,63.32,46.53,,{}
César Reyes,2002122901,92.99,86.16,91.96,80.37,40.03,53.02,93.95,87.26,winger;wide playmaker,{"winger":88;"wide playmaker":91}
Iván Leguizamón,14255870,84.36,48.78,90.15,98.07,82.24,38.55,90.99,81.72,wide playmaker,{"wide playmaker":86}
Tobias Gulliksen,53167331,96.72,66.6,96.2,42.34,40.03,17.5,92.41,97.23,wide playmaker,{"wide playmaker":95}
Lorenzo Colombo,43424893,13,14.22,17.25,36.49,72.46,84.81,11.71,3.73,,{}
Håkon Evjen,53145323,50.26,80.82,76.38,46.91,68.66,4.38,57.34,33.14,,{}
Jewison Bennette,2000112404,74.39,36.87,91.96,78.83,29.21,35.14,83.59,76.83,wide playmaker,{"wide playmaker":78}
Emre Gökay,2000204344,78.38,72.14,92.54,99.16,64.61,53.02,96.59,84.49,winger;wide playmaker,{"winger":86;"wide playmaker":86}
Cristian Volpato,2000034865,72.72,25.48,72.2,71.04,85.07,28.76,91.38,93.31,wide playmaker,{"wide playmaker":86}
Samed Baždar,2000027057,46.59,61.33,43.63,49.03,78.83,83.59,31.85,37.9,,{}
Fabrice Ngoy,18116155,28.83,14.22,8.43,8.62,78.83,77.09,36.16,18.15,,{}
António da Silva,2002123079,54.89,31.27,81.27,94.27,87.58,38.55,77.22,76.83,,{}
Theo Corbeanu,57189533,38.35,31.27,69.88,93.5,34.11,67.63,57.34,64.09,,{}
Bruno Barticciotto,75054810,32.82,80.82,34.17,82.5,96.85,49.61,30.69,37.9,,{}
Armando Broja,28121369,8.3,8.43,13.32,53.67,68.66,56.5,5.21,3.73,,{}
Tomáš Suslov,37076659,26.38,83.46,20.33,33.78,68.66,6.18,28.7,33.14,,{}
Elias Saad,2000106505,46.59,25.48,26.19,23.87,40.03,17.5,14.54,33.14,,{}
Yvandro Borges Sanches,2000124674,79.28,77.48,94.98,92.47,44.79,28.76,87.58,90.09,winger;wide playmaker,{"winger":86;"wide playmaker":86}
Lee Hyun-Ju,2000161791,60.49,55.28,58.94,52.38,85.07,53.02,91.57,74.39,,{}
Rareş Ilie,2000045306,83.14,48.78,13.32,14.61,14.74,28.76,56.37,55.02,,{}
Kenny Appleyard,2002133500,77.09,14.22,61.97,87.58,34.11,38.55,79.86,84.49,wide playmaker,{"wide playmaker":80}
Brenner,19302917,41.63,95.24,3.99,17.37,99.61,86.36,27.16,28.06,,{}
Junior Adamu,16202374,49.1,48.78,29.86,27.86,78.83,80.63,41.25,42.41,,{}
Dion Drena Beljo,24061498,60.49,14.22,23.1,40.41,64.61,92.02,50.06,55.02,,{}
Gonzalo Tapia,75054809,69.76,61.33,91.96,64.48,49.68,28.76,68.47,55.02,,{}
Juan Macías,2000116828,22.01,80.82,40.99,64.16,82.24,46.2,18.73,13.64,,{}
Harvey Vale,2000016607,2.38,25.48,17.25,15.89,91.06,1.16,4.95,0.39,,{}
Marcelo Ryan,19398802,49.1,61.33,40.99,35.14,68.66,98.65,30.69,33.14,,{}
Cristian Olivera,78097898,72.72,55.28,95.95,78.83,34.11,17.5,61.9,87.26,,{}
Nikola Knežević,2002101272,62.23,61.33,85.46,73.94,44.79,26,48.39,50.51,,{}
Myron Boadu,37060951,12.29,3.02,3.99,24.65,68.66,83.59,9.91,6.5,,{}
Wesley,2000192473,52.96,61.33,75.61,87.26,55.15,89.19,66.54,18.15,,{}
Supachok Sarachat,23328907,15.32,61.33,18.79,7.21,25.55,77.09,13.26,55.02,,{}
Francis Amuzu,18101803,18.53,25.48,59.91,32.05,14.74,53.02,25.35,55.02,,{}
Raùl König,2000196494,27.61,48.78,31.98,32.69,3.93,46.2,21.24,28.06,,{}
Raúl Rincón,2002133123,66.47,95.24,45.37,19.82,21.49,49.61,97.55,76.83,,{}
Patrick Dorgu,27164470,13.96,36.87,40.99,40.73,72.46,14.22,67.05,22.72,,{}
Yuri Alberto,19326424,43.05,17.57,18.79,16.15,97.36,98.91,36.16,13.64,,{}
Jamie Bynoe-Gittens,2000015300,86.87,36.87,82.63,98.91,49.68,61.45,96.98,91.25,wide playmaker,{"wide playmaker":92}
Alex Boyd,2002123295,43.05,66.6,38.93,58.82,82.24,59.14,32.95,28.06,,{}
Assane Diao,2000210791,93.76,48.78,67.18,97.36,60.23,82.24,72.01,84.49,wide playmaker,{"wide playmaker":83}
Kamal Sowah,13183090,18.53,61.33,48.07,31.21,25.55,64.86,21.88,59.65,,{}
Jonathan Dubasin,2000050421,62.23,86.16,59.91,36.16,91.06,46.2,51.35,33.14,,{}
Antoine Semenyo,29194724,18.53,21.3,53.8,49.03,34.11,17.5,33.59,3.73,,{}
Yanis Peyrot,2002122995,86.87,31.27,91.96,97.62,40.03,35.14,82.75,76.83,wide playmaker,{"wide playmaker":82}
Marco Deutsch,2002072791,67.7,31.27,78.83,79.92,17.89,35.14,70.33,71.36,,{}
Adrien Truffert,49050736,64.48,48.78,77.28,42.86,68.66,11.52,46.53,46.53,,{}
Esteban Gómez,2002135160,32.82,48.78,55.21,74.84,44.79,75.16,37.64,33.14,,{}
Antonio Foti,2000057844,97.36,86.16,49.81,53.09,40.03,49.61,77.22,91.25,wide playmaker,{"wide playmaker":89}
Elmar Guðlaugsson,2002074496,91.18,12.29,29.86,74.32,49.68,78.96,98.91,94.14,wide playmaker,{"wide playmaker":95}
Ethan Nwaneri,2000283271,47.94,42.15,45.37,83.59,60.23,86.36,78.83,67.95,,{}
Tayo Adaramola,2000048043,22.01,9.65,27.99,25.48,55.15,4.38,10.62,9.46,,{}
Ramiro Ruiz Rodríguez,14212884,57.92,96.2,75.1,59.33,29.21,82.24,65.83,55.02,,{}
Georginio Rutter,49048380,58.94,83.46,55.21,49.68,85.07,95.3,25.35,37.9,,{}
Nelson Weiper,2000170587,38.35,91.38,67.18,41.76,78.83,86.36,48.39,37.9,,{}
Sorriso,2000218077,63.38,25.48,66.47,70.59,34.11,42.34,57.34,55.02,,{}
Tomás Parra,2000126991,51.48,6.11,11.52,66.8,82.24,98.65,45.17,37.9,,{}
Juan Gauto,2000023159,32.82,48.78,65.32,89.45,29.21,9.59,33.59,42.41,,{}
Claudiu Petrila,57163398,62.23,72.14,79.86,88.35,49.68,35.14,44.14,33.14,,{}
Melvin Bard,49041157,52.96,36.87,71.04,45.24,3.93,2.57,47.43,55.02,,{}
Gustavo Gomes,2000256293,74.39,42.15,58.04,96.4,49.68,35.14,87.19,71.36,wide playmaker,{"wide playmaker":78}
Merlin Röhl,91204520,23.62,17.57,18.79,31.66,11.52,26,18.73,6.5,,{}
Emanuele Valeri,43315140,20.53,42.15,43.63,20.91,3.93,6.18,14.03,22.72,,{}
Benjamin Nygren,93104332,38.35,17.57,3.99,14.35,78.83,78.96,30.69,37.9,,{}
Benjamín Ocampo,2002136170,91.18,42.15,77.28,85.14,60.23,78.96,91.76,81.72,wide playmaker,{"wide playmaker":88}
David Martínez,2000143321,66.47,80.82,29.86,82.75,60.23,17.5,9.91,50.51,,{}
Erik Botheim,53138885,16.67,10.81,11.52,24.39,55.15,42.34,7.01,9.46,,{}
Paxten Aaronson,2000037579,56.82,42.15,51.67,76.51,49.68,64.86,38.42,59.65,,{}
Thomas Lind,2002144221,20.53,10.81,17.25,29.15,75.35,64.86,30.69,28.06,,{}
